word,count
6,124
f,59
d,194
br,2
xmlnsbr,14
xmlnspdivdiv,9
classpagediv,138
page,142
187divp,1
classtextd,116
ae,1
is,1858
a,4863
consonant,3
nearly,4
approaching,6
in,3246
sound,44
to,7528
t,47
but,777
formed,17
by,1365
stronger,8
appulse,1
of,7186
the,9943
tongue,55
upper,9
part,170
mouth,24
english,29
uniform,5
and,5612
it,1325
never,157
mute,7
9,44
oaf,54
casa,1
finija,1
term,35
musick,19
which,1021
signifying,2
from,2366
head,69
or,1811
beginning,15
means,60
that,1950
first,164
tune,10
should,218
be,1275
repeated,6
at,506
conclusion,11
dab,2
v,726
dauber,3
fr,41
strike,22
gently,9
with,1586
something,67
soft,36
moist,20
sore,5
wiped,1
drawing,21
piece,28
tow,3
rag,1
over,89
only,182
dabbing,1
fine,17
lint,2
sharp,9
ms,57
verb,62
1,911
small,87
lump,2
any,588
thing,249
2,940
blow,20
3,476
slimy,2
thrown,21
upon,407
one,637
4,255
low,66
languagej,2
an,582
artist,2
man,358
expert,5
this,637
not,1233
writing,14
5,163
kind,105
flat,10
fish,20
there,341
are,907
rays,16
flowks,1
dabs,1
plaice,1
carew,6
da,4
bchick,1
m,544
s,756
chicken,2
newly,5
hatched,2
its,186
feathers,9
yet,206
grown,14
dabchick,1
waddles,1
through,134
copse,1
on,824
feet,20
wings,15
flies,15
wades,1
hops,4
pope,117
dabble,5
dabbelen,1
dutch,60
smear,2
daub,9
spatter,1
besprinkle,3
wet,14
then,219
came,40
shadow,14
like,235
angel,8
bright,20
hair,26
dabbled,3
blood,78
shakespeares,342
richard,30
iii,115
i,1323
scarified,1
wound,28
oil,17
turpentine,3
wisemans,3
surgery,23
mean,53
while,83
south,44
rising,23
sable,3
cloud,17
athwart,3
welkin,1
flings,1
swift,181
dapple,4
play,34
water,126
move,30
mud,7
neither,66
will,459
spirit,42
dwells,5
stars,13
impurer,1
glanvilles,4
apology,2
little,133
complained,1
her,457
legs,8
she,252
could,147
swim,5
nor,172
them,519
lestrange,8
when,376
he,1035
found,105
boys,9
saw,35
dabbling,2
their,844
clay,8
stood,32
behind,25
stall,1
lurk,3
mark,38
progress,9
work,66
do,289
slight,16
superficial,6
shallow,5
manner,89
tamper,1
shakespeare,331
shall,309
bear,40
company,24
put,93
into,347
your,311
hands,44
as,1273
clear,57
fair,86
out,336
though,128
you,485
think,90
have,664
been,168
here,97
text,4
had,294
no,403
more,387
reverence,13
for,953
writer,6
printer,2
left,76
every,164
standing,7
just,55
dabb,1
ler,2
plays,6
meddles,1
without,257
mastery,2
goes,14
bottom,11
affair,9
meddler,1
dares,10
complain,5
toothach,1
our,488
dabblers,1
politicks,4
ready,35
swear,6
against,120
him,472
dis,276
affection,25
swifts,28
intelligencer,1
no0,40
dace,2
uncertain,11
derivation,6
most,203
provinces,3
called,69
dare,41
river,13
resembling,8
roach,1
less,89
let,179
me,317
live,57
harmlessly,1
near,46
brink,2
trent,2
avon,1
dwelling,11
place,142
where,166
may,341
see,176
my,566
quill,2
cork,1
down,196
fink,6
eager,3
bite,5
pearch,1
bleak,1
altons,1
ang,1
dact,1
yle,1
xe2x80xa6,5
finger,5
poetical,3
foot,27
consist,7
ing,66
long,109
syllable,3
two,154
short,38
joints,2
candidas,1
dap,2
oan,10
childs,2
way,135
expressing,7
father,32
ija,1
opy,1
xc5x9a,1
remarkable,5
all,754
parts,172
world,120
word,158
firit,1
taught,21
children,32
compounded,11
kindred,8
letter,12
difiercntly,1
placcd,1
assad,1
w,25
clsh,1
zoaoa,1
greek,13
atta,1
gothick,6
toata,1
latin,628
animas,1
atque,1
tatas,1
hat,7
oara,1
mart,5
was,513
bethampt,1
words,67
since,44
calid,2
broathers,1
dad,3
shakesp,181
k,31
john,22
his,1333
loving,6
mother,21
care,65
child,21
sale,4
gay,18
da1p,1
l,124
adj,476
lacoasalus,1
g,27
various,28
variegated,4
skilful,5
true,79
meaning,20
imitated,4
hath,160
dadal,1
hand,83
nature,144
pourd,2
gifts,7
outward,19
grace,38
philips,15
boaii,1
n,277
supposed,12
skinner,25
cor,8
foaoapiily,1
xc2xa7,19
p,135
asphodelus,1
plant,29
lilyflower,1
consisting,15
leaf,14
bellshaped,1
cut,38
six,22
segments,5
incircle,1
middle,22
crown,23
empalement,1
commonly,36
rises,9
membranous,2
vagina,1
turns,17
oblong,4
roundish,5
fruit,20
triangular,3
gapes,2
three,64
divided,35
cells,6
full,90
seeds,12
miller,8
strew,3
green,20
ground,76
daffodowndillies,1
cowslips,3
kingcups,1
loved,8
lilies,1
spenser,30
bid,17
amaranthus,1
beauty,28
shed,9
daffoadillies,1
fill,18
cups,2
tears,32
laureate,1
herse,1
lycid,1
lies,28
milton,68
daughters,8
flood,24
searchd,2
mead,5
violets,3
pale,14
croppd,1
poppys,1
narcissus,2
daffodil,1
pancies,1
please,24
fight,62
casfia,1
sweet,50
smell,6
dryden,237
daft,2
contracted,6
oft,27
throw,45
back,39
off,133
toss,2
aside,16
away,148
con,78
tempt,2
slightly,4
son,50
nimblefooted,1
madcap,1
prince,50
wales,1
comrades,1
pass,58
henry,114
iv,104
would,277
bestowd,3
dotage,8
daff,2
other,254
respects,4
made,205
half,52
myself,35
ns,630
dague,2
french,234
dagger,14
handgun,1
pistol,4
so,604
serving,3
purposes,7
being,228
carried,13
secretly,4
doing,16
mischief,23
sud,2
enly,3
b,430
daggle,3
bemire,2
fall,107
sword,38
poniard,1
ran,15
sons,25
struck,16
herself,18
mortal,26
sidney,74
ii,165
age,53
therefore,58
waited,2
dwarfs,3
knights,9
errant,1
hudibrar,1
cant,48
strikes,7
himself,121
interrupted,3
friends,34
stabs,1
breaks,10
ribs,2
addison,106
italy,29
fencing,2
schools,7
blunt,6
blade,5
iron,17
basket,2
hilt,1
used,140
defence,28
printers,1
j,232
obelus,1
reference,2
form,78
dagoers,1
dra,4
wing,11
draw,110
act,202
daggers,1
approach,11
open,44
violence,30
they,849
always,33
daggersdrawing,1
another,197
clapperclawing,1
hudibras,44
z,11
heard,46
quartel,1
tavern,2
were,301
daggerdrawing,1
till,82
desired,7
know,97
subject,47
quarrel,8
dag,2
dew,39
according,31
mr,7
lye,5
derived,17
danish,8
ba,5
sprinkled,4
beazan,1
dip,11
probably,10
same,142
root,14
negligently,5
mire,6
cle,2
run,33
dirt,16
puppy,1
doaggled,1
town,31
fetch,6
carry,21
fingsong,1
up,209
popes,117
epistles,10
daggled,1
ail,1
dagle,1
tail,9
bemired,1
dipped,4
bespattered,1
gentlemen,10
wit,37
pleasure,50
apt,29
choaked,1
many,189
daggedtail,1
parsons,1
happen,7
daily,19
pdivdiv,129
188divp,1
oa,132
datly,1
stagic,1
saxon,81
happening,1
day,176
very,147
frequently,9
done,98
quotidian,2
much,181
we,588
bound,17
heaven,23
thanks,3
gave,36
us,238
such,353
h,67
viii,64
cease,15
woman,38
born,25
hope,61
relief,4
trouble,12
continud,1
grief,22
adv,136
often,66
better,67
sense,96
advise,3
least,28
read,23
how,178
hardy,1
enterprize,4
great,283
regions,4
discovered,9
fairy,86
queen,112
ambitious,10
acquainted,5
whom,66
conversed,1
almost,30
years,62
together,60
dryd,161
ded,3
daintily,5
dainty,20
elegantly,3
delicately,3
truth,61
naked,20
daylight,9
doth,101
shew,37
masks,1
mummeries,1
triumphs,5
stately,4
candlelight,1
bacon,86
deliciously,3
pleasantly,5
region,8
earth,148
watered,1
navigable,1
rivers,13
howels,6
vocal,5
forest,12
those,303
young,45
suiters,2
accustomed,4
nothing,101
sleep,57
well,156
fare,8
brooms,1
view,31
epick,2
poems,4
daint,2
ess,46
delicacy,10
softness,6
what,325
thy,255
palate,8
daintines,1
softer,4
ease,22
sleeked,2
limbs,15
finest,5
elegance,2
nicety,2
duke,23
exceeded,1
daintiness,3
leg,5
earl,8
shape,18
otton,6
squeamishness,2
fastidiousness,1
sand,10
lime,3
vitruvius,1
discoursed,2
wottons,4
architecture,4
dain,1
old,96
delicate,17
cannot,93
find,83
dictionaries,2
pleasing,20
exquisite,3
taste,30
delicious,14
watery,2
whereas,12
higher,24
concoamption,1
required,3
sweetness,4
plumbs,1
dry,75
bacons,154
natural,158
history,152
acute,3
sensibility,2
nice,7
squeamish,1
luxu,1
rious,4
tender,22
slowest,1
dainties,5
evn,5
ears,22
skill,18
perceive,9
discord,14
conceive,12
offence,17
knowing,10
whats,9
good,197
ill,89
prior,82
ben,22
johnsons,6
forg,1
davies,32
people,89
frugal,3
elegant,9
military,8
scrupulous,4
ceremonious,2
now,261
deny,29
dance,19
makes,59
corns,1
romeo,6
juliet,6
horse,19
leavetaking,1
shift,9
macleih,1
tenderly,2
languishingly,1
effeminately,2
beau,3
tiful,2
holy,47
war,83
house,46
within,61
city,23
richly,2
furnished,8
plate,7
xc3x89,7
basons,1
ewers,1
lave,1
why,52
ye,47
cruel,14
yourself,10
lent,2
gentle,34
usage,3
affectedly,2
contempt,32
speakers,2
curse,11
plead,4
bad,30
causes,36
