word,count
page,125
416divp,1
classtextf,113
f,191
a,4344
b,362
consonant,1
generally,28
reckoned,12
by,1134
authors,5
and,5299
admitted,7
scaliger,1
among,67
the,9036
semivowels,1
according,29
to,5591
that,1656
opinion,29
distinguished,13
in,2935
enu,1
meration,1
of,5848
alphabet,3
name,69
beginning,11
with,1644
9,81
vowel,1
yet,187
has,157
so,614
far,141
nature,115
mute,3
it,1247
is,1586
easily,50
pronounced,4
before,188
liquid,14
same,122
syl,1
lable,1
english,32
an,482
invariable,1
sound,48
formed,33
com,31
pression,2
whole,63
lips,13
forcible,8
breath,27
its,151
kindred,7
letter,13
v,474
which,872
islandick,6
only,156
distin,1
guished,1
from,1697
point,37
body,117
fabaceous,1
adj,410
fabaceus,1
latin,376
j,278
having,80
bean,1
die,51
faxe2x80x99ble,2
ns,478
fable,31
french,311
fabula,1
1,701
feigned,11
story,16
intended,13
enforce,2
some,313
moral,6
precept,4
jothams,1
bees,4
oldest,1
extant,1
as,1152
beau,2
tiful,1
any,451
made,197
since,35
addisons,115
spectator,32
2,762
fiction,12
general,40
triptolemus,1
sung,9
nine,11
strewd,1
plenty,13
his,1215
cart,4
divine,35
but,709
spite,10
all,709
those,242
makers,2
he,1003
never,119
sowd,1
on,793
almaign,1
acres,5
3,380
vitious,2
or,1466
foolish,24
refuse,5
profane,2
old,92
wives,17
fables,21
tim,2
iv,100
7,93
4,250
series,5
contexture,1
events,9
constitute,4
poem,8
epick,5
dramatick,3
first,196
business,29
poet,15
this,602
being,195
contrives,3
such,286
design,26
may,281
be,1091
most,199
suitable,4
drydens,227
dufresnoy,20
thing,158
considered,10
perfect,18
imperfect,4
action,25
relates,1
more,310
less,73
5,156
lye,17
sense,87
merely,8
familiar,29
n,252
noun,74
feign,9
write,14
not,1080
truth,55
saturns,1
sons,15
receivd,5
threefold,2
reign,15
heavn,34
ocean,14
deep,48
hell,21
beneath,18
dryden,280
poets,13
mention,8
fabling,2
prior,76
vain,58
now,224
tales,5
tell,46
wavring,2
conquest,10
still,101
desires,19
rove,3
marlbros,1
camp,4
goddess,17
knows,16
dwell,13
falshoods,2
i,1146
hear,29
enemy,31
shakesp,164
henry,145
vi,90
falsety,1
we,455
mean,37
win,9
turn,29
heavxe2x80x99n,1
itself,44
into,327
thou,234
miltons,108
paradise,78
losoa,10
l,98
292,1
ladies,11
th,72
hesperides,1
secmd,1
fairer,3
than,316
feignd,1
fablxe2x80x99d,1
fairy,105
damsels,3
met,17
forest,24
wide,24
knights,10
parad,19
loft,71
fas,12
led,10
celebrated,6
hail,10
fabled,3
grotto,2
elysian,1
soil,8
fairest,6
spot,12
fair,125
britannias,3
isle,8
tickell,8
fab1,1
r,168
sable,2
dealer,4
writer,5
stories,7
fabricate,5
s,599
fabricor,1
build,7
construct,2
forge,19
devise,2
falsely,13
retained,8
scottish,11
lawyers,5
for,1255
when,390
they,738
suspect,7
paper,13
forged,3
say,55
fabric,1
at,502
los,3
m,418
rom,15
act,67
building,8
construction,3
fabrication,2
human,36
immediate,5
work,58
rudiments,2
vital,10
principle,5
formeth,1
hales,9
origin,11
alankind,1
fabrick,9
fabrica,1
edifice,5
there,302
must,160
exquisite,3
care,59
place,124
columns,5
set,104
several,52
precisely,2
one,506
over,62
another,138
solid,19
answer,28
vacuities,1
vacui,1
ties,2
well,168
beauty,45
strength,38
jot,2
system,7
compages,1
matter,59
conjunction,2
dissimilar,1
parts,109
will,401
ye,42
think,69
strange,26
great,256
change,39
quit,8
their,859
station,7
primeval,1
frame,37
fa,18
c,70
form,110
shew,35
what,284
laws,35
life,121
cheese,2
inhabitants,7
observe,12
how,170
mansions,1
phillips,26
fabu,4
list,5
fabuliffe,1
quitting,1
esop,1
fabulists,1
copies,1
boccace,1
croxal,1
our,370
bards,4
fabuliff,1
deals,5
garrick,1
y,64
fabulositas,1
lyingness,1
fulness,13
fabulous,4
invention,6
fabulosity,1
would,240
report,7
had,292
observa,1
tions,10
twenty,14
thousand,32
years,44
abbots,5
description,5
oaf,56
isorld,1
lous,2
fabulosus,1
full,196
invented,5
person,52
terrified,1
imagination,34
speamptres,1
reasonable,4
who,343
thinks,21
appearance,26
spirits,34
groundless,1
no0,32
o,152
fabulously,1
adv,121
manner,45
are,831
many,162
things,149
fabuloausly,1
delivered,7
accepted,3
truths,7
browns,52
ulgar,1
errours,39
8,71
face,122
facies,2
visage,3
children,38
israel,6
saw,39
moses,5
skin,34
mosess,1
shone,4
exod,2
xxxiv,3
35,5
man,304
shall,286
see,151
faces,4
if,372
you,433
examine,7
them,445
part,236
find,132
good,179
take,114
together,66
uncomely,1
bacon,94
essay,35
44,5
ranging,2
evry,28
found,90
dart,8
speciator,24
countenance,23
cast,48
features,5
look,48
air,96
seizd,12
tyxe2x80x99d,1
down,130
judge,18
wretched,14
cant,50
filent,2
laugh,11
were,303
want,74
goodness,12
grace,37
grave,17
exceeds,4
powr,17
popes,97
epistles,4
surface,20
mist,7
watered,3
ground,114
front,33
forepart,6
anything,61
breadth,4
house,45
towards,34
east,13
was,473
hundred,28
cubits,3
ezek,5
xli,2
14,23
state,107
affairs,8
lookd,5
quite,15
changd,5
brazen,7
throat,4
war,89
ceasd,3
roar,9
turnd,11
jollity,1
game,4
luxury,7
riot,2
feast,24
dance,12
par,33
off,121
produce,26
new,91
europe,5
addison,95
resemblance,13
keep,60
your,278
former,25
mix,2
again,65
these,199
lost,66
run,43
mazes,1
em,13
treasons,1
ben,22
johnsoan,4
shock,4
blood,76
powder,10
staind,2
nor,165
sea,56
retaind,1
fury,25
art,76
effects,10
trouble,12
her,501
waller,20
dialogue,1
much,150
probability,4
have,561
mistaken,5
real,16
conference,1
baker,3
6,106
presence,10
sight,14
give,90
unto,84
eleazar,1
slay,2
numb,4
xix,6
jove,17
cannot,95
fear,93
then,174
me,288
my,514
gods,34
am,78
least,28
iliad,12
confidence,12
boldness,4
thinking,6
fasten,3
thoughts,38
courage,16
put,81
tis,62
shakespeares,315
julius,12
caesar,12
comliness,1
do,212
himself,84
can,169
scarce,24
allege,2
own,143
merits,1
modesty,3
extol,1
sometimes,60
brook,8
supplicate,1
beg,8
28,13
gen,23
ii,155
youll,9
done,43
ignorance,7
alone,36
hudibras,29
p,125
says,19
wolf,7
challenge,4
pdivdiv,92
classpagediv,122
417divp,1
facetiously,1
facetious,4
fox,22
deny,13
certainly,9
stolen,3
lxe2x80x99estrange,34
415,1
charge,26
others,64
false,62
citations,1
tillotson,17
preface,21
distortion,1
shame,19
why,41
make,252
macbeth,58
adverbial,1
expression,8
both,108
parties,4
present,43
romans,10
deliver,2
accused,2
accusers,1
acts,15
xxv,4
16,18
nakedly,1
without,257
interposition,2
other,205
bodies,67
through,123
glass,11
darkly,2
toa,47
cor,3
x111,1
i2,1
carry,18
play,55
hypocrite,4
hou,1
needs,24
learn,11
scoff,2
company,24
hubberds,6
tale,29
come,101
about,119
soldier,10
afraid,13
spanish,20
fryar,15
thrice,16
mounted,4
squadrons,3
ride,8
around,17
fire,169
arcites,1
resound,1
farewel,4
shouted,1
amain,3
facing,3
left,73
thence,25
turnxe2x80x99d,1
dry,40
ace,1
meet,32
oppose,9
firmness,9
ill,83
tempest,20
deserve,4
king,190
get,25
intelligence,5
force,102
sufficient,8
number,148
troops,7
field,60
battle,26
iar,3
loth,6
fires,15
kindled,10
smithfield,1
lordship,4
ready,27
under,95
popish,4
persecution,1
swift,155
impudence,4
trapannd,1
facxe2x80x99d,1
plots,4
projects,3
iii,87
because,61
walkxe2x80x99d,1
against,104
facd,3
men,222
stood,28
prioar,4
stand,44
opposite,11
side,57
head,81
emperor,14
trajan,1
reverse,2
circus,1
maximus,1
view,29
palatine,1
mountain,10
italy,42
temple,31
described,3
square,11
four,63
fronts,4
open,33
gates,12
different,24
quarters,4
world,109
fame,42
cover,16
additional,1
superficies,3
invest,3
covering,6
fortification,7
