word,count
br,9
xmlnsbr,141
xmlnspdivdiv,53
classpagediv,114
classpagenum,114
no,566
page,116
number,144
divp,114
classtext,2
hi,11
v,403
a,2884
c,59
has,147
two,89
powers,13
expressed,9
in,2328
modern,3
english,23
by,1046
characters,8
consonant,3
and,3848
u,108
vowel,6
which,648
ought,40
to,4453
be,1035
considered,8
as,914
letters,17
but,606
they,634
were,241
long,92
confounded,3
while,70
the,7081
uses,4
annexed,2
one,362
form,52
old,77
custom,13
ftill,1
continues,3
followed,2
sounds,9
clear,25
at,347
other,197
times,23
eu,1
obtuse,2
close,22
approaching,5
italian,16
or,908
oo,1
obtund,1
xe2x80xa2,45
p,81
sound,35
nearly,2
those,247
of,4846
b,186
f,66
with,1324
it,922
is,1268
spaniards,3
gascons,1
always,44
runick,1
alphabet,2
same,110
character,11
distinguished,6
only,148
diacritical,1
point,19
its,138
uniform,12
never,117
mute,6
vaxe2x80x99cancy,1
ns,231
from,1146
vacant,21
1,463
empty,31
space,23
vacuity,8
how,126
ist,2
that,1410
thus,73
you,382
bend,6
your,290
eye,53
on,573
vacancy,5
thxe2x80x99incorporal,1
air,94
do,191
hold,22
discourse,20
shakespeare,380
hamlet,30
2,579
chasm,1
unfilled,8
reader,6
finds,10
wide,20
knows,11
not,2428
transport,2
his,1079
thoughts,44
next,24
particular,38
for,743
want,83
forme,1
connecting,1
idea,23
jwattss,4
logick,8
3,221
soa,85
fr,271
state,128
post,6
employment,5
when,299
un,346
supplied,4
h,32
bishop,8
guardian,6
spiritualities,2
was,436
summond,1
parliament,11
bishops,5
room,17
ayliffe,7
4,128
vacances,1
time,117
leisure,12
relaxation,2
intermission,2
unengaged,3
if,336
sometimes,23
each,68
others,71
eyes,81
we,387
meet,14
little,84
vacancies,2
toil,4
are,677
sweet,36
dryd,23
st,30
daily,17
intervals,3
necessary,26
labour,25
together,25
day,76
seven,8
christian,20
world,117
allow,9
sufficient,16
watts,12
5,70
listlessness,1
emptiness,7
thought,65
alone,38
company,13
fit,36
still,103
without,257
doing,13
any,373
thing,138
i,977
like,207
worse,8
all,640
dispositions,2
idleness,2
even,48
before,101
habits,3
dangerous,13
jotton,2
adj,1314
vacans,1
latin,190
void,43
why,36
should,201
so,539
impetuously,1
rush,1
into,239
cavity,6
receiver,2
there,232
re,35
ceive,1
boyles,2
works,23
better,51
race,24
bring,39
their,675
moalton,1
free,92
unencumbered,1
uncrouded,3
religion,52
interest,24
philosophy,5
affairs,17
mores,5
divine,35
dialogues,3
very,145
part,136
our,353
life,137
uneasinesses,2
leave,66
us,218
attraction,2
remoter,2
good,131
locke,119
filled,17
an,575
incumbent,7
possessor,4
lest,9
fiend,7
invade,6
possession,15
milton,252
allowed,4
throne,22
succession,10
immediately,3
go,49
heir,12
swift,145
being,225
disengaged,2
have,475
government,29
scatter,4
army,13
abroad,12
place,104
them,338
villages,5
take,81
victuals,4
such,318
lie,57
camp,4
spenser,31
sir,22
john,12
berkley,1
more,308
service,24
reduction,1
barnstaple,1
clarendon,42
memory,9
relieves,2
mind,116
her,419
moments,2
prevents,2
chasms,1
ideas,27
what,311
past,20
addison,147
thoughtless,4
busy,7
wretched,11
slave,9
who,290
body,87
filld,7
gets,5
him,347
rest,49
crammd,2
distressful,2
bread,6
duke,14
had,288
pleasant,11
face,59
proceeding,7
singular,3
assurance,5
temper,21
ottons,3
buck,2
some,284
vain,79
amusement,1
soul,76
irene,1
vaxe2x80x99cate,1
vaco,1
annul,3
make,206
authority,30
g,36
afteraci,1
vacating,1
precedent,5
tells,6
remorse,6
touched,9
straffords,1
most,190
implacable,4
enemies,18
k,69
charles,21
quit,9
defeat,4
put,83
end,52
he,775
vacates,1
my,511
revenge,11
trusts,1
me,284
xe2x80x99twere,1
base,21
fawn,1
yet,258
betray,8
vagation,1
svacation,1
vacatio,1
juridical,1
proceedings,4
stated,1
employments,3
recess,2
courts,2
senates,2
pacation,1
passes,9
between,34
term,8
london,5
cowel,4
these,205
clerks,2
full,74
task,7
durin,1
open,59
whereupon,3
vacation,2
onlv,1
bacon,97
off,69
alienat,1
freedom,17
trouble,15
perplexity,2
benefit,13
peace,34
quiet,7
piety,36
ren,1
dered,2
every,118
commonwealth,5
laws,40
secure,28
propriety,7
hammonds,14
fundamentals,5
vaccary,1
vacca,1
cowhouse,1
cowpas,1
ture,8
bailey,5
vacill,1
ancy,1
m,287
s,438
svacillons,1
vacillo,2
lat,220
vacillant,1
wavering,1
fluctuation,2
inconstancy,3
much,158
use,135
deny,12
mutability,4
implies,3
imperfeotion,1
though,156
does,49
vacillancy,1
human,33
souls,24
mutations,1
found,74
corporeal,2
matter,72
vacillaxe2x80x99t,1
ion,7
vacillatio,1
vacillation,2
act,66
reeling,1
staggering,1
muscles,3
keep,60
upright,22
prevent,10
falling,9
readily,3
asfifting,1
against,98
derham,8
vacuist,1
vacuum,4
philosopher,3
holds,11
opposed,8
plenist,1
spaces,3
vacuiss,1
would,211
because,49
manifestly,1
devoid,1
plenists,1
prove,27
replenished,1
subtle,7
boyle,87
vacuation,1
vacuus,3
emptying,2
dict,1
vacuitas,1
vacuita9,1
hunger,4
require,7
fresh,23
sup,10
ply,4
aliment,5
arbuthnot,53
unoccupied,4
filling,3
up,243
vacuities,2
turning,7
out,204
shadows,5
ceremo,1
nies,2
explicit,1
prescription,2
substantial,1
duties,4
did,150
obscurely,2
represent,9
fund,3
seat,17
soon,36
