word,count
br,2
xmlnsbr,7
xmlnspdivdiv,3
classpagediv,6
classpagenum,6
no,22
page,6
number,6
divp,6
classtexty,6
y,18
a,209
w,5
at,37
the,436
beginning,2
of,261
words,8
is,87
consonant,2
end,5
and,245
when,28
it,72
follows,1
vowel,1
has,5
sound,4
i,46
used,14
whenever,1
two,12
iis,1
would,20
come,4
together,5
in,115
derived,2
from,63
greek,1
to,235
express,3
v,20
was,19
much,8
by,42
saxons,1
whence,5
found,5
for,61
old,20
english,2
writers,1
yacht,1
ns,14
small,5
ship,4
carrying,1
passengers,1
yard,7
m,20
s,19
3earb,1
saxon,28
1,21
inclosed,1
ground,4
adjoining,1
an,27
house,2
one,25
lions,2
leaped,1
down,4
into,15
neighbours,2
where,9
nothing,5
regarding,1
crowing,1
cocks,1
he,48
eat,2
them,22
up,21
browns,1
ulgar,1
errours,1
xanthus,1
day,19
sent,3
aesop,1
bade,1
him,18
look,2
well,8
about,6
exe2x80x99estrange,1
his,81
wanton,1
kids,1
with,63
budding,1
horns,2
preparxe2x80x99d,1
fight,8
harmless,1
battles,3
homely,1
2,27
zerb,1
measure,3
three,7
feet,2
peer,1
counsellor,2
judge,1
are,34
not,48
be,47
measured,2
common,2
but,39
poasioa,1
soaccial,1
grace,6
pacon,1
arms,4
spread,3
cross,2
straight,1
line,2
long,9
finger,2
on,29
hand,5
that,68
other,5
made,10
equal,1
stature,1
named,2
fathom,1
half,2
viz,1
either,3
arm,3
so,26
middle,2
breast,2
us,9
called,2
holder,1
time,12
aqueduct,1
gothick,1
structure,1
conveys,1
water,1
mount,2
st,2
francis,1
spoletto,1
foundation,1
lowest,1
arch,1
top,1
hundred,9
thirty,3
yards,2
addison,5
3,16
supports,1
sails,2
breeze,1
shore,1
began,2
blow,1
sailors,1
their,32
oars,1
cease,1
row,2
then,7
hoist,1
atrip,1
all,32
let,11
fall,5
court,2
wind,3
dryden,25
yarpw,1
wand,1
j,10
ard,1
revolutions,1
nature,6
can,5
give,6
more,10
than,15
different,1
degrees,1
dimensions,1
what,11
affinity,2
thinking,1
such,9
attributes,1
there,17
between,5
syllo,1
gism,1
yardwand,1
collier,1
yare,3
adj,15
3earpe,1
ready,3
dextrous,1
eager,1
june,1
good,7
iros,1
quickmethinks,1
hear,2
antony,1
call,1
shakesp,16
ant,2
cleopatra,1
do,15
desire,3
learn,1
sir,1
hope,2
if,31
you,36
have,25
occasion,1
use,3
me,20
your,30
turn,3
shall,15
find,4
shakespeare,33
yarely,2
adv,11
yara9,1
bextrously,1
skilfully,1
filken,1
tackles,1
swell,1
touches,1
those,9
flowersoft,1
hands,1
frame,1
office,1
cleop,1
yarn,4
earn,2
spun,2
wool,2
woollen,1
thread,1
another,8
penelope,1
yet,22
they,36
say,5
jarn,1
she,14
ulyssess,1
absence,2
did,11
fill,2
ithaca,1
full,5
moths,1
coriolanus,1
web,1
our,18
life,9
mingled,1
ill,4
virtues,3
proud,2
faults,1
whipt,1
crimes,1
despair,1
were,16
cherishxe2x80x99d,1
commodity,1
very,5
proper,1
this,36
country,4
which,37
others,5
ought,1
most,7
encouraged,1
temple,1
may,5
useful,1
reeling,1
jwilkins,1
fates,2
only,7
spin,1
coarser,1
clue,1
finest,1
left,2
spare,1
portion,1
twine,1
oald,1
sisters,2
cut,1
below,2
rest,5
among,4
rubbish,1
sweep,1
9,4
add,2
some,8
misers,1
heap,2
yr,1
n,10
hirrio,1
lat,2
growl,1
or,27
