word,count
bdiv,1
classpagediv,137
classpagenumno,1
page,139
number,189
a,4821
b,543
the,11398
first,249
letter,13
of,7785
european,4
alphabets,1
has,261
for,1107
cloves,2
and,5599
nutmegs,2
to,6626
linea,1
in,3561
english,40
language,39
three,51
different,56
sounds,15
even,62
oranges,1
china,3
dryden,94
which,1438
may,433
be,1447
termed,14
broad,17
open,54
slen,1
is,2417
sometimes,159
familiar,8
writings,10
put,106
by,1492
barbarous,5
corrup,1
der,9
tion,75
he,1050
9,32
sound,64
resembling,19
that,2243
ger,1
composition,11
seems,78
have,654
power,175
french,63
mana,1
found,115
many,181
our,447
monosyllables,1
as,1778
all,829
wall,17
these,241
phrases,4
droit,3
gauche,1
ampc,46
malt,6
salt,43
pronounced,14
assau,1
cause,100
or,2141
aw,13
contracted,14
from,2392
at,675
aside,15
assape,1
afoot,4
asleep,8
athirst,2
aware,6
law,178
words,109
were,355
anciently,24
written,44
with,1743
au,15
if,402
this,804
avouches,2
does,57
appear,51
fault,21
waulk,1
happens,7
still,92
retained,4
there,382
no,596
flying,7
hence,21
nor,167
tarrying,1
here,99
was,498
probably,19
ancient,68
saxons,2
since,45
it,1878
i,1181
gin,2
weary,8
sun,60
almost,39
uniformly,1
preserved,7
rustic,1
pronunciation,8
wish,14
state,208
world,136
now,254
undone,7
northe,8
dialea5s,1
maun,1
man,381
haund,1
hand,84
shakespeares,132
macbeth,29
not,1056
unlike,7
italians,3
father,50
ra,3
breeze,2
shore,20
began,12
blow,7
ther,19
more,380
obscurely,3
fancy,9
fast,18
sailors,2
ship,23
their,816
oars,3
cease,11
row,5
slender,10
close,22
peculiar,19
re,61
then,175
hoist,2
yards,5
atrip,1
sails,5
sembling,2
e,158
masculine,3
diphthong,2
ai,8
let,103
fall,47
court,58
wind,29
catch,7
gales,3
pai,1
perhaps,60
middle,18
between,83
them,496
drydens,169
ceyx,1
alcyone,1
arabic,1
said,85
nearly,15
approach,30
redundant,6
aris,7
arouse,2
awake,14
same,216
we,536
examples,5
place,157
face,52
rise,38
rouse,2
wake,5
waste,12
those,295
terminate,2
ation,21
relation,30
na,13
abbreviations,2
stands,17
artium,4
arts,23
ab,33
bachelor,2
tian,3
generation,7
oa,163
baccalaureus,1
m,702
master,26
ma,14
short,32
glas,1
xc3x89raft,1
long,110
glaze,1
graze,3
marked,4
giffer,1
anno,6
ad,75
domini,3
loang,1
generally,86
an,1320
final,5
plane,3
added,34
beginning,21
names,29
places,28
shews,15
plain,33
they,794
some,511
abbey,10
article,15
set,96
before,290
nouns,6
singular,15
abackeadu,1
obsoletebackwards,1
tree,75
denoting,5
one,571
coming,19
but,926
when,395
came,45
where,208
thou,202
thy,211
skill,26
didst,7
show,13
than,315
indefinite,4
indication,1
drew,10
abacke,1
half,34
shame,22
confound,4
come,112
way,127
any,577
plural,16
shepherds,4
see,279
art,106
outgo,1
soans,2
pasoa,4
fignification,4
word,265
vowel,6
aba,4
ctor,1
s,876
lat,823
abacior,1
driver,2
away,114
who,348
ox,2
egg,5
contraction,16
drive,9
steal,4
cattle,9
herds,2
great,240
numbers,22
once,53
noun,31
little,127
tes,2
distinction,6
only,224
sheep,4
two,201
blount,6
placed,31
participle,6
participial,21
con,86
abacus,1
ns,657
dbacus,1
sidered,1
wallis,1
1,705
countingtable,1
used,306
calculations,2
action,77
yet,210
finished,5
am,92
walk,18
2,833
architecture,11
uppermost,2
member,10
column,11
ing,195
also,115
serves,11
sort,54
crowning,1
both,131
capital,8
co,44
local,3
su,7
ames,4
thomas,1
becket,1
other,329
lumn,1
dic7,50
cases,9
signify,27
like,271
baft,1
adv,230
abarzan,1
sax,46
behind,21
forepart,2
hunting,4
chloa9,1
went,17
prior,49
towards,47
ste,8
dicf,42
go,71
begging,2
bankrupts,1
door,6
dryd,193
abas,3
anc,3
alaisoar,1
depress,4
ay,13
pure,14
contents,5
ever,71
pitch,10
tents,4
bring,59
down,77
act,214
reverence,15
bow,21
obeysance,1
upon,462
downs,1
meads,4
rocks,8
moun,2
confidered,4
skinner,17
corruption,13
alaisance,1
tains,3
universally,2
peace,40
