word,count
vol,21
ibr,3
xmlnsbr,71
xmlnspdivdiv,46
classpagediv,122
classpagenum,122
no,486
page,128
number,149
divp,122
classtextb,98
p,127
a,5410
b,504
the,9726
second,34
letter,13
of,5768
english,32
alphabet,1
is,1839
pro,18
nounced,2
as,1204
in,2949
most,164
other,190
european,1
languages,6
by,1178
pressing,1
whole,60
length,35
lips,20
together,67
and,5017
forcing,3
them,409
open,63
with,1808
strong,57
breath,45
it,1482
has,204
near,47
affinity,2
labial,1
letters,30
con,35
founded,7
germans,5
gascons,1
from,2040
which,963
an,607
epigrammatist,1
remarks,9
that,1683
libere,1
vivoare,1
are,828
gascony,1
same,144
spaniards,6
words,84
use,111
or,1555
windifferently,1
baa,2
m,584
s,640
see,225
verb,61
cry,18
sheep,26
to,6033
v,560
n,241
bal,5
lat,180
like,332
lamb,8
whose,119
dam,2
away,90
set,106
he,1036
treble,3
baas,1
for,1028
help,16
but,797
none,32
can,172
get,21
sidney,79
babble,6
fabioalen,1
germ,20
babiller,1
fr,233
1,635
pratle,1
child,33
prate,4
imperfectly,1
my,601
labbling,1
praises,11
i,1368
repeat,4
more,288
hear,43
rejoice,5
stand,48
silent,4
adore,2
prior,71
2,723
talk,23
idly,2
irrationally,2
john,50
had,246
conned,1
over,117
catalogue,2
hard,54
these,192
used,230
battle,43
indifferently,4
all,599
companies,2
arbuthn,2
j,86
bull,59
let,131
filent,1
sanctuary,3
show,20
what,331
babbling,4
schools,5
we,384
may,288
not,904
know,85
3,401
thoughtlessly,1
tell,44
secrets,13
there,311
danger,26
reserved,3
friend,31
than,320
noisy,9
enemy,24
lxe2x80x99eoarange,2
4,229
much,181
hallling,1
echo,5
mocks,3
hounds,8
replying,1
shrilly,1
well,162
tund,2
horns,12
if,362
double,23
hunt,3
were,277
heard,28
at,580
once,60
shakespeare,276
tit,6
andr,5
powr,16
give,118
knowledge,38
birth,43
speeches,8
carth,6
descryxe2x80x99d,2
his,1293
face,71
she,201
who,258
others,70
her,423
filence,2
breaks,21
addisons,54
ovid,15
ns,553
balil,1
idle,12
senseless,6
prattle,1
this,661
shall,227
henceforth,1
trouble,9
me,341
here,112
coil,2
protestation,1
two,236
g,24
oaf,80
verona,5
come,116
mere,10
moral,5
milton,59
volleys,1
eternal,8
ball,44
clamour,4
unanswerable,1
hudibras,44
impertinence,1
folly,15
have,632
taken,55
notice,7
disputes,4
glanvilles,6
scepsis,4
scientifica,1
babblement,1
deluded,1
while,77
ragged,2
notions,3
babblements,1
they,731
expected,3
worthy,11
delightful,3
babbler,5
talker,1
irrational,3
prattler,1
hold,59
our,336
time,146
too,95
precious,6
be,1173
spent,11
such,255
king,200
great,254
babblers,3
talkers,1
fit,51
trust,17
lxe2x80x99estrange,42
apostle,2
text,3
sooner,15
proposed,5
greater,51
masters,8
athens,5
himself,95
was,517
ridiculed,1
rogers,10
teller,1
utterers,2
thence,14
debarrd,2
blazers,2
crime,18
fairy,105
queen,91
ii,217
babe,9
aban,1
welch,28
ballaerd,1
dutch,60
infant,8
either,73
sex,5
those,204
do,182
teach,11
your,340
babes,3
gentle,30
means,24
easy,17
tasks,1
might,82
chid,2
so,559
good,193
faith,24
am,85
chiding,3
othello,25
nor,129
schaftians,1
formidable,3
name,94
belonger,1
usd,3
lull,2
crying,3
labe,1
drydens,304
don,11
seb,2
bale,10
care,45
beguiles,1
early,17
knew,26
mother,25
smiles,4
dryden,321
baeery,1
ms,64
late,23
finery,2
please,12
seen,41
trim,3
books,27
velvet,4
dight,2
golden,20
leaves,90
painted,8
ballery,1
scely,1
boys,12
unacquainted,3
fight,64
bas,29
h,75
adj,296
labc,1
childish,4
bashful,5
will,405
soon,43
blush,19
call,66
him,487
balish,1
ill,73
brought,82
up,337
thing,189
aschams,3
schoolmasier,2
ba,7
goos,1
aiguin,1
supposed,31
skinner,39
augmentation,2
import,3
monkey,2
largest,7
kind,135
you,525
locked,1
through,110
grate,1
geminy,1
balooms,1
shaoaff,2
merry,30
joaves,1
joaindsor,1
cast,43
every,102
human,25
feature,4
out,368
countenance,9
became,16
d,56
buscom,1
4ampsoan,1
spec,1
baby,1
baee,1
lay,74
beats,11
nurse,6
quite,14
athwart,2
goes,13
decorum,1
soaft,2
seasure,2
foar,18
measure,48
must,143
soagar,1
plushoa,1
ather,1
make,316
poor,57
loac,2
c,78
marry,6
propagate,4
father,43
cannot,88
stay,18
portion,5
babies,3
play,61
locke,143
small,96
image,10
imitation,4
girls,1
archduke,1
saw,39
perkin,5
would,263
prove,25
runnagate,1
part,195
children,31
fall,52
about,136
bacons,160
henry,174
vii,54
since,33
represent,4
creator,6
never,92
think,70
honour,40
foolish,12
puppets,2
dirt,10
clay,8
stillingfleets,2
def,2
disc,2
on,883
rom,9
idolatry,6
baccated,1
baccatus,1
beset,11
pears,6
having,114
many,150
berries,12
dici,14
bacchanalian,1
lacchanasia,1
riotous,1
per,15
son,54
drunkard,3
bacchanals,3
stacchanasia,1
drunken,3
feasts,8
revels,3
bacchus,5
god,112
wine,35
ha,4
brave,34
emperor,1
dance,11
now,192
egyptian,2
celebrate,4
drink,22
shakesp,792
ant,9
cleop,4
wild,35
fury,14
heathen,3
equalled,1
decay,19
piety,23
both,108
extremes,3
banished,2
their,712
walls,21
carthusian,1
fasts,1
fulsome,2
tacchanals,1
poape,19
bol,5
e,138
flower,80
tall,6
very,155
full,105
broadleaved,3
sad,21
light,96
purple,11
proper,30
white,66
hav,3
ing,61
three,84
outmost,1
edged,5
crimson,6
colour,53
bluish,5
bottom,52
dark,31
amortimer,4
bacciferous,2
bacca,3
berry,13
fero,2
bear,163
berrybearing,3
trees,44
four,51
kinds,8
caliculate,1
naked,26
ca,4
lix,1
falling,17
off,115
leaving,2
bare,51
fassafras,1
monospermous,1
fruit,68
contain,11
only,157
one,460
seed,20
arbutes,1
polyspermous,1
containing,30
kernels,2
seeds,50
within,62
jasminum,1
ligustrum,1
composed,6
acini,1
round,92
soft,35
balls,15
close,32
bunch,17
grapes,6
uva,1
ma,6
rina,1
ray,26
bacciyorous,1
voro,1
devour,3
devourer,1
dic,21
bachelor,5
word,157
uncertain,27
etymology,36
being,212
known,36
its,176
original,18
sense,74
junius,13
derives,6
xc2xa3322o0,1
menage,3
las,3
chevalier,1
knight,20
lowest,10
rank,6
spelman,1
baculus,2
staff,9
cu,3
jas,1
buccella,2
allowance,3
provision,5
bable,1
derivation,2
seems,62
laurus,2
laurel,3
bay,43
bachelors,3
young,75
hopes,16
laurels,3
latin,20
baccalaureus,1
man,343
unmarried,2
separation,4
becomes,29
virtuous,10
maid,11
midsummer,14
nights,31
dream,26
haunting,1
dissolute,2
places,31
resort,4
courte,1
fans,2
punished,2
married,6
men,199
new,71
atlantis,12
true,45
painter,1
naturally,11
delights,6
liberty,19
longs,2
bachelorxe2x80x99s,1
estate,9
dufresnoy,13
finful,1
woes,6
deplore,1
merit,10
feel,14
pope,116
takes,21
first,191
degrees,16
university,3
any,404
fession,3
boy,24
lackelor,1
arts,10
chanced,1
speak,55
against,108
afthams,4
schoolmaster,9
appear,42
before,192
behalf,9
martinus,5
scrible,1
rus,3
physick,2
popes,76
mart,3
scriblerus,7
order,50
little,128
bach,4
elors,1
button,9
campion,1
species,60
sorts,31
plant,73
hardy,5
grow,73
above,58
foot,35
produce,24
june,5
july,2
millar,30
elorship,1
condition,21
living,27
yet,177
testify,1
bachelorship,1
hen,20
vi,88
back,106
bac,2
sax,101
hinder,24
body,134
neck,26
thighs,6
voice,22
goeth,1
towards,26
wards,5
front,11
speaketh,1
likewise,11
doth,79
echoes,1
place,159
where,182
nat,32
hist,30
noa,57
247,2
following,16
enter,27
poart,2
remain,13
without,185
envy,12
fellows,7
conquring,1
shout,3
mount,9
backs,7
hope,36
share,11
outer,9
hand,105
when,415
shut,16
opposed,13
salin,1
f,46
methought,5
love,117
pitying,2
gave,37
hands,45
lacks,2
palms,3
kiss,11
donne,18
gt,28
xe2x80x93,8
br,19
l,129
outward,13
requires,8
cloaths,23
belly,45
ancestors,2
been,144
free,20
constant,6
drudgery,1
bellies,5
should,155
bestow,12
some,358
heads,23
rear,10
van,4
conclude,3
walter,2
upon,466
kings,48
lack,6
majesty,14
clarendon,40
viii,66
5,143
behind,48
antheus,1
sergestus,1
grave,19
cleanthus,1
mighty,27
trojan,7
throng,4
6,101
sight,11
chimneys,4
ripen,7
baconxe2x80x99s,16
hisxc5x82,14
no0,127
856,1
7,88
thick,47
tool,5
edge,25
knife,4
sword,39
whence,43
backsword,3
as3,1
dreaded,2
old,113
lewis,3
single,22
faul,2
chion,1
cudgelplay,1
arbuthnots,26
history,80
8,54
turn,44
forsake,4
neglect,2
hour,17
death,61
friendships,2
world,81
bid,36
adieu,1
creation,21
south,85
9,54
go,77
reach,11
taking,17
cognizance,3
turned,22
returned,6
former,17
rebellion,5
sir,58
davies,21
ireland,38
adv,73
noun,126
came,67
house,99
unless,13
undertake,3
oaft,2
night,98
sent,26
seek,15
ship,62
argo,1
threatening,2
medea,1
suffer,25
stead,5
raleighs,24
why,56
labour,25
thoughts,26
thy,282
native,20
island,2
mightst,2
thou,230
sail,17
leave,34
halfheard,1
melancholy,6
tale,45
odyssey,34
backward,19
present,46
station,6
ixe2x80x99ve,5
surprised,2
unguarded,1
half,38
smotherd,1
breast,45
broke,47
weak,21
restraints,1
cato,31
coming,17
forward,17
thought,55
promote,2
thee,146
unto,65
lo,9
lord,62
hath,175
kept,28
numb,3
xxiv,5
constrains,1
glebe,1
keeps,9
hurtful,3
weed,5
blackmores,3
toward,7
things,98
past,27
always,40
curiosity,3
look,51
sorrows,11
view,25
mind,98
beginning,17
progress,3
rising,21
burnets,9
theory,10
earth,90
again,69
return,21
ladys,5
mad,15
twere,4
could,139
sway,4
command,22
followers,3
take,115
affairs,9
despatch,1
smooth,17
discreet,1
stable,2
bearing,18
twelfth,17
caesar,16
found,78
ungrateful,3
age,44
losing,5
went,25
blood,140
rage,20
waller,9
epistles,5
written,33
ladies,16
forsaken,1
lov,1
ers,6
us,155
divers,19
dryd,61
aft,2
horse,53
roan,1
throne,17
strait,7
o,117
esperance,1
butler,9
lead,15
forth,66
into,387
park,2
iv,121
break,152
train,16
direct,14
how,149
winged,5
favour,20
flight,18
moderate,3
course,25
roscommon,11
slept,6
jupiter,5
eagle,6
backd,4
appeard,7
maintain,6
strengthen,4
belike,9
warwick,2
false,30
peer,10
taspire,1
crown,15
enough,41
shoulders,11
sees,15
backing,2
friends,36
plague,5
seconded,1
certain,47
denilaunces,1
backed,3
arms,61
hayward,26
did,160
swear,10
express,13
prop,4
lords,20
after,96
turnd,15
houseful,1
malice,4
interest,14
ad,24
vantage,3
expectations,3
something,87
treat,11
bold,45
aspiring,2
success,9
still,83
follows,3
crimes,6
adds,5
cymbeline,18
justify,1
support,30
patrons,1
ternary,1
principles,15
five,56
elements,10
endeavour,9
experi,1
ments,7
specious,3
reason,51
boyle,34
adages,1
lirange,1
factious,2
favring,1
tother,2
side,73
