word,count
see,311
bizantinebr,1
xmlnsbr,87
xmlnspdivdiv,58
classpagediv,218
classpagenum,218
no,710
page,228
number,111
divp,32
classtext,25
oax,1
c,459
o,314
gt,25
a,9204
b,642
w,26
the,17409
third,38
letter,20
of,11679
alphabet,8
has,332
two,301
sounds,19
use,213
after,185
christmas,2
and,8646
continues,8
good,318
until,14
april,2
r,201
one,1031
like,488
k,59
as,2246
call,152
clock,12
craft,16
coal,50
companioan,1
coa,38
musk,3
callage,2
through,172
negligence,8
been,307
almost,43
lost,84
in,5610
eng,6
neifoarm,1
other,514
casar,22
coaffation,4
cinder,7
land,119
though,209
for,1795
eating,14
it,2513
is,3374
best,111
kinds,19
we,712
have,1038
before,250
u,53
or,3065
consonant,6
always,86
looser,1
leaves,117
more,535
crisp,11
tender,36
oa,452
9,64
s,1442
e,251
i,1888
y,104
most,293
agreeable,27
moassy,1
scent,13
when,624
cut,205
will,678
be,2006
fit,82
cab,3
xc3x9f,1
spj,1
hebrew,3
measure,73
containing,43
about,234
three,132
october,2
november,2
december,1
branch,8
pints,1
xc3x89nglish,1
eighteenth,1
part,337
ephah,1
ing,88
sea,100
cabbage,27
found,171
wild,67
england,69
on,1501
coast,35
cabal,7
ns,896
cabale,1
fr,310
toaoap,1
tradition,5
sometimes,143
gathered,15
by,2232
poor,80
inhabitants,17
spring,53
1,1309
secret,61
science,21
rabbins,1
eaten,14
but,1159
apt,33
to,10534
strong,73
bitter,10
brov,1
t,103
2,1353
body,317
men,326
united,28
some,700
close,97
design,53
differs,13
tracoali,1
many,332
esteemed,18
does,89
not,1717
deserve,12
place,246
from,3454
party,32
fiv,1
kitchen,12
garden,20
where,356
roman,32
broccoali,1
can,363
ob,17
she,277
oaften,1
interposed,3
her,639
royal,34
authority,54
break,42
tained,3
which,1783
much,343
sweeter,2
continue,31
longer,40
were,515
forming,7
against,178
first,304
ministers,7
addison,207
son,86
broccoli,4
large,92
heads,34
appear,62
3,682
intrigue,4
center,20
plants,52
clusters,10
buds,6
should,332
each,195
cursd,2
women,47
strove,5
they,1310
run,62
up,437
seed,32
with,2913
four,96
five,59
draw,63
thxe2x80x99,58
indulgent,2
king,303
partial,5
love,198
drydens,318
aureng,4
inches,16
stems,3
skin,50
these,406
strip,5
caba,1
l,187
v,930
m,1229
cal,10
aler,1
form,172
intrigues,4
ped,1
off,187
are,1616
boiled,10
eat,34
very,330
unite,52
small,197
parties,18
his,1972
mournful,5
friends,58
summond,2
take,188
their,1372
throngxe2x80x99d,1
couch,19
council,29
vvhat,1
those,403
cabaling,1
captains,6
may,584
must,290
prevent,11
being,404
action,65
d,61
sebass,1
ca,38
list,11
calal,1
skilled,5
traditions,1
hebrews,3
then,301
jove,13
thus,145
spake,10
care,130
pain,40
vve,1
formd,9
this,1113
name,137
renownd,2
rhime,9
thine,36
immortal,9
neufgermain,1
cost,52
studious,6
cabaliss,1
time,303
swift,305
ballistical,1
something,91
that,2889
an,1102
ballis,1
tick,8
5,269
occult,4
meaning,31
letters,59
caballistical,1
carry,73
them,764
than,500
proper,79
world,174
acquainted,13
spect,10
he,1586
taught,26
him,684
repeat,7
caballistick,1
words,146
pronoun,2
little,203
inferiour,11
asparagus,1
common,238
colewort,2
now,321
al,33
near,81
london,14
markets,3
usually,33
sup,15
plied,1
savoy,5
instead,23
tenderer,1
delicate,10
better,90
worth,28
cultivating,1
perennial,5
alpine,1
calewort,2
also,149
cultivated,21
at,859
present,68
sorts,38
varieties,10
bota,2
nick,1
cauliflowes,1
late,39
years,85
so,992
far,99
improved,2
exceed,6
goodness,16
magnitude,8
what,471
produced,38
parts,239
europe,18
skill,28
gardners,1
continued,19
several,145
months,14
together,240
season,15
june,5
july,8
miller,49
cole,4
coleworts,2
soft,57
demulcent,1
without,452
any,815
acidity,5
jelly,3
juice,16
red,63
baked,2
oven,4
mixed,24
honey,9
excellent,25
pectoral,3
arbuthnot,149
aliments,69
cing,1
whole,145
consisted,3
spectator,41
no0,83
578,1
cabpage,1
cant,77
word,222
among,119
taylors,38
steal,11
all,1111
er,83
n,559
engages,2
de,59
signs,15
intriguer,1
factious,5
rich,76
bold,26
board,14
cautious,10
field,31
shund,3
sword,38
caballer,1
tonguevaliant,1
lord,120
dryden,350
alline,3
adj,759
caballinus,1
lat,492
belonging,46
horse,79
caballine,1
aloes,3
cabaret,2
french,223
tavern,4
suppose,20
servant,14
passing,21
tenniscourt,1
comrades,2
drinking,11
playing,5
stay,26
drink,45
play,54
away,132
money,82
bramhall,3
agains,8
holles,1
scabus,1
brassica,1
j,312
plant,81
fleshy,16
glaucous,1
colour,111
flowers,67
consist,18
succeeded,8
long,179
ta,7
per,42
pods,9
round,161
acrid,3
seeds,63
species,82
white,88
cutting,29
clothcs,1
your,477
taylor,22
shreads,1
cabbages,3
yards,9
left,87
remaining,12
plantations,1
except,20
ornament,16
exceeding,8
straight,15
regularly,11
top,59
afford,12
beautiful,16
prospect,4
reason,117
planters,2
generally,67
spare,11
habitations,4
russian,1
4,399
flatsided,1
su,4
cabbag,2
ewor,1
inseampt,5
gar,5
loaf,4
6,161
early,19
battersea,2
7,147
cabin,13
scalane,1
chalin,1
welch,6
cottage,10
8,78
green,62
boorcole,1
io,18
italian,10
12,45
turneprooted,1
13,39
cauliflower,2
14,33
turnep,2
15,24
curled,9
cokwort,1
16,27
17,25
branching,2
tree,92
18,25
brown,47
19,23
20,22
pine,6
21,15
perfoliated,2
flower,107
22,20
purple,19
flat,19
longsided,1
chiefly,17
winter,29
sown,7
middle,40
march,18
beds,13
fresh,24
earth,209
rus,1
room,44
there,623
held,41
captive,17
sensual,5
desire,55
till,112
timely,2
fruit,108
belly,24
swelld,3
bore,16
boy,22
unto,170
savage,7
fire,122
fairy,87
oaueen,1
vi,131
chamber,40
ship,53
give,177
thanks,6
you,809
lived,11
make,456
yourself,16
ready,36
mischance,3
hour,27
if,602
happen,19
shakesp,591
oapeft,1
exped,1
safety,14
once,87
service,37
raleighs,53
say,101
cloth,33
arbuthnots,15
history,260
bull,31
caebage,1
palmtree,3
caribee,1
islands,12
grows,61
prodigious,4
height,30
envelope,1
inclosed,24
deprived,1
xe2x80xa6,9
air,168
blanched,1
plaits,1
hats,4
ampc,15
genuine,4
young,80
shoots,10
pick,7
led,22
sent,53
into,718
ever,133
out,485
trees,59
destroyed,6
nor,258
do,367
rise,38
again,117
old,144
roots,12
few,82
extrem,1
oau,2
tre,3
sian,1
was,854
formerly,27
greater,86
esteem,13
pre,18
rarely,9
brought,104
market,6
sugarloaf,1
cablages,1
called,225
michaelmas,3
sowing,2
open,78
spot,9
ground,140
propagated,8
pinched,2
frost,11
booroaole,1
never,180
rendered,9
kind,206
soups,2
too,160
seldom,37
hard,88
winters,16
coaloawat,1
chessboard,5
same,332
sel,3
main,27
perhaps,82
sails,11
while,108
locke,227
house,117
come,296
marble,23
bowxe2x80x99rs,2
times,83
gay,38
harbour,4
anguish,5
silly,5
weak,25
yet,299
stronger,17
woes,7
sioacy,1
neither,61
odious,9
custom,45
allowed,11
flaying,1
surface,32
cover,55
calins,2
mak,1
heir,11
ditches,2
xe2x80x98,5
tnc,1
swiss,1
soa,57
siss,1
amp,26
sbr,2
classtextc,166
tent,10
boughs,10
slender,14
cabins,1
frame,26
lodged,12
tortoshs,1
streets,9
fairfax,16
noun,152
live,64
ill,147
feed,21
berries,7
curds,9
whey,3
suck,5
goat,6
cave,18
titus,4
andronicus,3
confine,25
fleance,2
scapd,1
comes,92
my,746
had,493
else,61
perfeot,5
founded,10
rock,20
broad,30
genral,5
casing,4
ixe2x80x99m,7
cabind,2
cribbd,3
confind,9
bound,44
saucy,7
doubts,8
fear,69
macbeth,83
caeined,1
nice,14
morn,11
indian,10
steep,7
loophole,1
peep,1
cabinet,10
scabinet,1
set,128
boxes,6
drawers,3
curiosities,4
private,45
box,21
both,206
corners,9
farther,22
side,96
way,197
return,32
let,267
cabinets,1
daintily,1
paved,3
richly,7
hanged,4
glazed,1
crystaline,1
glass,34
cupola,3
midst,18
elegancy,2
thought,127
racons,1
essays,40
who,497
sees,16
soul,103
such,541
might,151
treasure,12
ben,35
johnson,6
vain,45
workman,5
shewxe2x80x99d,2
wit,52
rings,11
hinges,4
counterfeit,17
seem,71
disguise,4
milton,60
vulgar,63
eyes,95
things,306
value,34
hidden,14
thy,369
breast,21
hath,293
lockd,3
secrets,13
denhams,11
sophy,12
cannot,152
discourse,44
describing,4
our,610
duty,39
needs,19
mysteries,3
iorthy,1
communicant,11
consultations,1
began,35
afterwards,33
practised,9
camp,20
spenser,51
seems,86
signify,24
hut,4
hearken,3
awhile,1
lawrel,1
song,29
careful,26
colinet,1
spensers,43
pastoral,5
cabinetcouncil,2
manner,152
unusual,6
privacy,9
confidence,17
doctrine,20
italy,82
practice,52
france,38
kings,84
introduced,10
cabinetcouncils,1
bacons,270
highest,27
lowest,9
universally,4
read,54
nursery,2
cabinetmaker,1
makes,112
work,86
wood,80
root,33
thorn,2
fine,48
combs,6
would,404
great,448
makers,1
well,248
turners,2
others,141
martimer,2
cable,5
scabs,1
calel,1
dutch,77
rope,13
anchor,6
fastened,16
mast,4
blown,11
overboard,1
broke,17
holding,11
half,65
sailors,8
swallowd,2
flood,16
lives,44
pilot,4
still,122
henry,266
p,212
iii,201
true,85
length,46
life,172
extremities,7
because,114
bendings,1
waves,17
riding,6
able,61
stretch,8
nothing,130
breaks,10
stretched,3
cables,2
crack,38
fearful,12
cries,19
ascend,8
sable,2
night,117
involves,3
skies,20
caburns,1
ropes,8
used,306
ships,30
cacao,6
chocolatenut,1
cachectical,1
cachexy,2
having,247
habit,24
cachectick,1
shewing,2
florid,2
blood,131
rather,96
vapid,1
cahedical,1
crude,20
chyle,18
swims,2
appears,34
milk,43
persons,120
cachedlick,1
floyer,13
humours,41
nf,54
x2x32,1
general,98
express,27
variety,22
symptoms,5
commonly,67
denotes,9
dis,31
temperature,4
hinders,6
nutrition,4
weakens,3
vital,9
animal,51
functions,3
proceeding,17
weakness,6
fibres,26
abuse,8
nonnaturals,2
often,88
severe,15
acute,5
distempers,2
diet,36
qachinnation,1
cachinnatio,1
loud,42
laughter,1
cack,1
e1,2
fish,36
said,96
laxative,2
cackle,4
aeacoalen,1
noise,75
goose,5
