word,count
br,3
xmlnsbr,32
xmlnspdivdiv,20
classpagediv,56
classpagenum,56
page,60
200divp,1
classtexto,52
a,1590
k,14
has,91
in,1285
english,19
long,52
sound,19
as,576
drone,1
groan,1
soaone,1
alone,17
cloase,2
broke,8
coal,2
droall,1
or,570
short,6
goa,5
anot,1
shot,3
prong,1
it,650
is,809
usually,9
denoted,2
by,576
servile,3
subjoined,1
moan,3
e,58
at,214
the,3961
end,30
of,2722
syllable,4
bone,6
when,183
these,110
vowels,2
are,400
not,572
appended,1
generally,19
except,6
before,63
ll,3
droll,1
scroll,1
and,2369
even,29
then,55
sometimes,37
1,206
o,97
used,48
an,400
interjection,1
wishing,2
exclamation,2
that,732
we,201
who,158
have,273
resisted,1
all,395
designs,3
his,547
love,64
would,109
now,79
try,3
to,2505
defeat,3
anger,9
decay,11
oaf,41
piety,16
were,139
he,410
present,33
eyes,37
hands,7
mightsee,1
urge,1
death,43
which,426
commands,7
dryd,33
2,257
with,611
no,176
great,139
elegance,2
shakespeare,148
for,395
circle,13
oval,5
can,94
this,335
cockpit,1
hold,10
vasty,1
field,8
france,10
may,123
cram,2
within,25
wooden,1
very,67
casks,1
did,84
affright,2
air,31
agincourt,1
shakesp,220
ns,174
word,53
variously,2
written,20
auff,2
oph,3
seems,21
corruption,10
euph,1
demon,1
fairy,23
german,6
alf,1
from,611
elf,2
means,21
properly,7
same,76
changeling,1
foolish,6
child,9
left,35
malevolent,1
ouphs,1
fairies,4
place,56
one,291
more,186
witty,2
they,364
steal,1
away,32
i,481
a3oa,4
haps,1
be,556
got,5
after,62
proves,1
idiot,2
folk,1
perceives,2
thriveth,1
fault,11
therein,4
smother,3
some,179
silly,1
doating,1
brainless,1
calf,1
understands,2
things,72
half,18
says,13
took,17
other,140
dolt,1
blockhead,1
oafish,2
adj,182
stupid,3
dull,7
doltish,1
qafishness,1
stupidity,3
dullness,1
oak,24
m,195
s,296
ac,5
aec,1
saxon,32
skinner,7
shew,19
how,64
easy,12
play,7
fool,6
under,36
literature,1
deep,12
researches,1
will,206
diversion,2
my,195
reader,6
jerive,1
oaxos,1
house,24
being,111
best,29
timber,3
building,7
had,119
junius,2
thoughts,13
on,359
shewn,3
usual,7
fondness,4
greek,6
etymology,1
derivation,3
ridiculous,1
than,164
ridiculed,1
him,161
grave,5
critick,1
signified,3
among,25
saxons,1
like,103
robur,1
latins,2
only,96
but,322
strength,20
well,78
enough,21
derived,6
oan,11
incommoade,1
deduci,1
pots,1
2xx,1
taking,5
three,39
first,88
letters,11
sinking,5
x,12
un,11
common,25
oaktree,1
hath,93
male,1
flowers,12
katkins,1
consist,3
number,23
small,24
slender,3
threads,1
embryos,1
produced,13
remote,8
distances,2
tree,16
do,113
afterwards,4
become,7
acorns,2
hard,20
scal,1
cups,1
leaves,23
sinuated,2
species,10
five,10
miller,9
returnd,1
brows,2
bound,20
lay,29
along,6
whose,48
antique,1
root,13
peeps,1
out,302
upon,172
brook,5
brawls,1
wood,11
beareth,3
so,286
many,77
bastard,1
fruits,6
fides,2
galls,1
apples,1
nuts,1
inflammable,3
berries,1
sticking,2
close,8
body,51
without,77
stalk,2
bacons,45
nat,31
history,9
monarch,3
patriarch,1
trees,9
shoots,3
rising,11
up,64
spreads,1
slow,5
degrees,11
centuries,1
grows,10
stays,2
drayt,1
nymphid,1
supreme,2
flate,2
decays,1
dry,12
l,18
groawing,1
plant,18
opped,1
still,48
locke,83
light,45
earthy,4
st,15
affixed,2
toa,37
ony,1
sparry,1
matter,31
incrusted,2
days,21
homer,4
every,67
grove,2
river,6
fountain,6
oodward,2
foass,5
r,38
ca,3
thought,32
their,369
peculiar,8
deities,3
ods,1
let,60
india,3
boast,7
her,140
plants,9
nor,64
envy,6
weeping,2
amber,2
balmy,2
while,28
our,195
oaks,2
precious,5
