word,count
pdivp,3
end,57
of,5256
section,8
continue,11
to,4442
next,29
or,1105
a,4036
hrefhttpsbabelhathitrustorgcgissdiducm5326809207tocgo,4
table,20
contentsapdiva,4
namesection,4
idsectionadiv,4
classsectionh3,4
classsectionheadingsectionh3div,4
classpagediv,105
page,110
58divp,1
classtextm,96
m,503
c,16
has,140
in,2515
english,14
one,462
unvaried,1
sound,36
by,879
com,23
pression,3
the,7746
lips,12
as,928
mine,54
tame,7
camp,2
it,1001
is,1526
never,82
mute,16
macaroon,2
s,539
macaroane,1
italian,24
coarse,12
ruda9,1
low,57
fellow,14
whence,24
ma9oa,1
nick,3
poetry,11
which,832
languoagoa,1
purposely,2
corrupted,15
like,234
big,12
wife,47
at,362
fight,49
lothed,1
meat,18
ready,14
travail,1
so,461
i,923
figh,5
and,4177
sweat,5
hear,38
this,531
talk,17
on,606
vain,28
donne,19
2,506
macaron,1
french,279
from,1252
p3xza9,1
kind,117
sweet,48
biscuit,2
made,266
flower,52
almonds,4
eggs,6
sugar,7
cawtree,1
j,34
ma,27
oa,243
species,30
palmtree,1
very,161
common,73
caribbee,1
islands,2
where,118
negroes,1
poa,2
tender,25
fruit,62
issues,2
pleasant,7
liquor,14
they,621
are,668
fond,8
body,100
tree,34
affords,5
solid,15
timber,3
with,1238
make,389
javelins,1
arrows,1
ampc,5
supposed,19
some,331
be,979
sort,35
ebony,1
miller,45
macaw,1
ns,583
bird,21
westindies,1
mace,14
smaza,1
saxon,108
maga,3
spanish,28
1,417
an,449
ensign,1
authority,22
worn,10
before,120
magistrates,2
he,777
mightily,9
upheld,2
that,1391
royal,17
now,147
thou,206
bearst,2
fairy,54
queen,70
h,34
ii,123
death,78
his,1043
petrifick,1
smote,2
milton,88
maffue,1
massa,2
latin,320
heavy,14
blunt,2
weapon,6
club,2
metal,34
omurthxe2x80x99rous,1
slumber,4
layst,1
thy,222
leaden,3
upon,291
my,430
boy,16
plays,6
thee,107
musick,31
shakesp,311
julius,5
casar,2
turkish,8
troops,10
breaking,12
their,675
scymitars,1
iron,33
maces,2
most,173
bloody,13
execution,6
knolles,8
monarch,18
struck,9
ground,55
inward,12
trembling,5
earth,107
receivd,6
wound,10
rising,15
streams,8
passage,10
found,80
dryden,304
mighty,28
such,221
haste,10
descend,6
break,26
bones,22
armour,6
bend,3
drydens,125
knights,10
tale,18
3,213
macis,1
spice,4
nutmeg,1
inclosed,6
threefold,1
covering,7
second,29
thin,12
flat,8
membranaceous,4
sub,10
stance,3
oleaginous,2
yellowish,3
colour,44
extremely,5
fragrant,6
aromatick,2
agreeable,6
smell,9
but,584
acrid,5
taste,18
carmina,1
tive,2
stomachick,1
astringent,2
hills,14
mat,24
med,9
water,70
vinegar,4
honey,14
excellent,15
sudorifick,1
more,325
effectual,1
little,94
added,12
arbuthnot,79
al,15
e,81
ale,6
spiced,1
prescribed,2
him,328
draught,5
maceale,1
hopes,11
dis,17
pose,3
rest,47
joasemans,3
surgery,18
maxe2x80x99ce,1
bearer,2
who,296
carries,4
persons,39
was,480
placed,24
quadrangular,1
opposite,5
spectator,8
noa,72
617,2
macerate,6
v,367
macero,1
maserer,1
lean,9
wear,10
away,67
recurrent,1
pains,11
stomach,19
megrims,1
other,173
re,34
current,13
headaches,1
parts,103
render,6
