word,count
amp,23
7,87
vlbr,2
xmlnsbr,101
xmlnspdivdiv,76
classpagediv,177
page,192
256divp,177
classtextp,162
a,6456
c,46
is,2362
labial,1
consonant,3
formed,55
by,1627
slight,15
compression,1
of,8793
the,13460
anterior,3
part,311
lips,17
as,1773
pull,26
pelt,7
it,1758
con,72
founded,9
germans,1
and,6317
welsh,13
with,2198
b,212
has,257
an,868
uniform,9
sound,64
sometimes,80
mute,6
before,234
t,108
ac,17
compt,1
receipt,4
but,1020
p,286
in,4148
modern,12
orthogra,2
phy,7
commonly,51
omitted,3
pabular,1
adj,576
pabulun,1
lat,773
affording,3
aliment,9
or,1888
pro,82
vender,1
pabulation,1
ns,738
pabulum,2
aa2,2
feeding,8
procuring,5
provender,6
pabulous,2
alimental,1
ali,1
inent,3
we,622
doubt,27
air,126
supply,12
fire,83
much,244
less,90
that,2332
flame,28
properly,27
kindled,3
browns,94
vulgar,44
err,9
pace,27
pas,36
french,151
i,1583
step,11
single,41
movement,2
walking,6
behind,28
her,641
death,125
close,28
following,19
for,1397
not,1573
mounted,3
yet,247
on,1033
his,1673
pale,46
horse,49
miltons,89
paradise,35
losoa,3
x,21
2,1018
gait,6
manner,70
walk,14
he,1355
himself,140
went,29
kind,132
languishing,2
eyes,94
cast,51
up,336
to,7910
heaven,32
though,173
fancies,6
strove,5
mount,23
higher,18
sidney,92
saw,49
menalcas,1
come,127
heavy,23
wet,8
were,416
chearless,1
was,757
face,89
addison,231
3,485
degree,23
celerity,3
keep,85
be,1627
left,107
tomorrow,12
creeps,1
this,954
petty,36
from,2404
day,119
today,4
last,90
syllable,13
recorded,3
time,239
all,934
our,551
yesterdays,1
have,893
lighted,2
fools,14
way,179
dusky,3
bring,62
me,387
word,205
how,195
world,137
goes,14
may,437
spur,6
my,659
journey,17
shakesp,838
coriolanus,35
teachers,6
fain,11
restrain,11
forwardness,4
brothers,14
under,143
same,197
training,1
might,174
hold,64
him,595
ottons,6
buckingham,4
beggar,9
sings,5
evn,5
when,521
sees,12
place,226
beset,7
thieves,4
never,169
mends,1
dryden,707
just,72
mended,6
upon,613
touch,35
hudibras,45
marcia,2
could,179
answer,25
thee,161
sighs,4
thy,332
woes,7
count,7
out,435
tear,12
applied,34
one,808
fide,9
doubting,7
other,357
would,398
4,279
gradation,2
business,31
gallicism,2
first,249
necessary,48
majesty,15
make,389
fall,70
into,490
confidence,16
spain,9
temple,44
5,177
measure,40
five,53
feet,42
quantity,33
supposed,28
meal,6
sured,1
foot,61
where,226
taken,85
set,134
down,169
measuring,6
land,90
over,156
they,1068
styled,1
double,32
e,212
space,28
elevation,9
again,75
mediated,1
equal,46
thousand,52
which,1225
paces,4
made,344
mile,3
holder,10
violence,22
tempests,7
moves,10
sea,87
above,87
fix,20
deep,46
ilkins,2
math,3
magic,2
6,101
particular,59
horses,21
are,1157
taught,29
some,506
naturally,17
lifting,2
