word,count
bdiv,1
classpagediv,137
classpagenumno,1
page,138
numberrna,2
a,4116
b,531
arnthe,3
firxc5xbft,211
letter,12
of,7023
the,9464
european,3
alphabets,1
has,228
for,881
cloves,2
and,4580
nutmegs,1
to,5444
linearnin,1
englixc5xbfh,36
language,30
three,37
different,47
xc5xbfounds,12
even,51
oranges,1
china,3
drydenrnwhich,1
may,376
be,1243
termed,8
broad,13
open,47
xc5xbflen,1
is,2190
xc5xbfometimes,109
in,3029
familiar,7
writings,8
put,93
by,1276
barbarous,4
corruprn,1
der,2
tion,3
he,762
rn9,2
xc5xbfound,51
rexc5xbfembling,15
that,1876
ger,1
compoxc5xbfition,9
xc5xbfeems,71
have,584
power,133
frenchrnmana,1
found,98
many,151
our,361
monoxc5xbfyllables,1
as,1429
all,662
wall,12
thexc5xbfe,171
phraxc5xbfes,3
droit,1
gauche,1
ampc,31
bernmalt,1
xc5xbfalt,34
which,1172
pronounced,11
asxc5xbfau,1
cauxc5xbfe,74
or,1874
aw,4
contraxc4x8dted,7
from,2202
at,549
axc5xbfide,10
axc5xbfxc5xbfape,1
afoot,2
axc5xbfleep,6
athirxc5xbft,2
awarernlaw,1
words,87
were,307
anciently,23
written,37
with,1401
au,2
if,225
this,617
avouches,1
does,47
appearrnas,1
fault,16
waulk,1
happens,6
xc5xbftill,79
retained,3
there,221
no,499
flying,5
hence,8
nor,96
tarrying,1
herernthis,1
was,451
probably,15
ancient,60
saxons,2
xc5xbfince,28
it,1517
i,664
gin,1
weary,8
xc5xbfun,46
rnalmoxc5xbft,1
uniformly,1
prexc5xbferved,5
ruxc5xbftic,1
pronunciation,5
wixc5xbfh,12
xc5xbftate,155
world,103
now,198
undone,6
rnthe,62
northern,6
dialexc3xa5s,1
maun,1
man,303
haund,1
hand,66
shakexc5xbfpeares,74
macbethrna,1
not,930
unlike,6
italians,2
father,40
ra,1
breeze,2
xc5xbfhore,11
began,9
blowrnther,1
more,313
obxc5xbfcurely,3
fancy,8
faxc5xbft,12
xc5xbfailors,2
xc5xbfhip,13
their,663
oars,3
ceaxc5xbfe,5
rowrna,1
xc5xbflender,5
cloxc5xbfe,14
peculiar,17
re,4
then,114
hoixc5xbft,2
yards,4
atrip,1
xc5xbfailsrnxc5xbfembling,1
french,44
e,129
maxc5xbfculine,3
diphthong,2
ai,5
let,60
fall,35
court,46
wind,23
catch,6
galesrnin,1
pai,1
perhaps,41
middle,16
between,72
them,423
drydens,130
ceyx,1
alcyonernthe,1
arabic,1
xc5xbfaid,73
nearly,13
approach,20
redundant,4
arixc5xbf,5
arouxc5xbfe,1
awake,11
xc5xbfamernof,1
we,409
examples,4
place,110
face,36
rixc5xbfe,24
rouxc5xbfe,2
wake,5
rnwaxc5xbfte,1
thoxc5xbfe,220
terminate,1
ation,14
relation,27
na,3
abbreviations,2
xc5xbftands,10
artium,4
arts,15
ab,8
bachelorrntian,1
generation,7
xc2xba,82
baccalaureus,1
m,680
maxc5xbfter,23
ma,2
rna,18
xc5xbfhort,28
glaxc5xbf,1
xc3x89raft,1
long,96
glaze,1
graze,2
marked,2
giffer,1
anno,4
ad,34
domini,2
rnlxc2xbang,1
generally,77
an,1105
final,5
plane,3
added,27
beginning,20
names,25
places,20
xc5xbfhewsrnplain,1
they,600
xc5xbfome,381
abbey,6
article,12
xc5xbfet,86
before,244
nouns,5
xc5xbfingular,13
number,41
abackeadu,1
obxc5xbfoletebackwards,1
rntree,1
denoting,5
one,483
coming,16
but,661
when,274
came,33
where,148
thou,152
thy,177
xc5xbfkill,13
didxc5xbft,5
xc5xbfhowrnno,1
than,266
indefinite,4
indication,1
drew,6
abacke,1
half,28
xc5xbfhame,13
confoundrncome,1
way,102
any,497
plural,14
shepherds,1
xc5xbfee,95
art,86
outgo,1
sxc2xbanxc5xbf,1
paxc5xbfxc2xbarnfignification,1
word,230
vowel,5
aba,3
ctor,1
xc5xbf,719
lat,596
abacior,1
driver,1
away,80
whornwritten,1
ox,1
egg,4
contraxc4x8dtion,8
drive,6
xc5xbfteal,3
cattle,7
herds,1
great,203
numbers,19
