word,count
bpdivdiv,1
classpagediv,81
classpagenum,81
no,287
page,85
number,103
divp,81
classtext,4
t,26
h,134
a,2988
b,199
is,1132
in,1976
english,29
as,747
other,123
languages,2
note,12
of,3578
aspiration,1
sounded,3
only,105
by,630
strong,41
emission,1
the,5899
breath,23
without,120
any,198
conformation,1
or,863
gans,3
speech,12
and,3424
therefore,34
many,107
gramma,1
rians,1
accounted,4
letter,5
scarcely,3
ever,60
mute,6
at,359
beginning,8
word,72
where,114
it,860
im,9
mediately,1
precedes,2
vowel,2
house,96
behaviour,5
followed,6
consonant,1
has,124
sound,48
according,25
to,3457
present,23
pronunciation,5
but,469
anciently,12
now,162
scotland,15
made,137
syllable,1
guttural,1
right,36
bought,6
ha,34
interjeet,1
latin,123
1,420
an,489
expression,14
wonder,12
surprise,1
sudden,14
question,10
exertion,3
you,365
shall,180
look,39
fairer,3
ere,16
i,791
give,71
hazard,22
what,206
says,14
golden,11
chest,2
let,127
me,209
see,90
shakesp,212
art,65
thou,185
horrid,10
headless,5
trunk,5
my,387
hastings,2
rowes,10
jane,4
shore,17
2,446
laughter,2
he,694
saith,1
among,43
trumpets,4
smelleth,1
battle,17
afar,5
off,73
job,13
xxxix,3
25,7
xe2x80x99tis,3
so,357
long,84
wishd,5
vowd,1
our,257
plots,3
delusions,1
have,440
wrought,10
such,170
confusions,2
that,1052
monarchs,3
slave,9
crowd,9
dryd,63
allion,1
haak,1
n,131
s,407
fish,17
ainsworth,49
habeas,1
corpus,1
writ,6
which,553
man,213
indicted,1
some,229
trespass,2
being,109
laid,21
prison,7
for,692
same,81
may,176
out,193
kings,36
bench,3
thereby,12
remove,4
himself,77
thither,11
his,978
own,93
costs,2
answer,8
cause,42
there,197
cowel,1
harerdas,1
her,308
m,287
this,410
ingeniously,1
deduced,3
minshew,1
from,1021
habt,1
ihr,1
das,1
german,26
ex,24
pression,2
shopkeeper,1
offering,6
wares,6
sale,3
one,348
who,245
sells,10
small,63
pedlar,4
because,48
these,126
cunning,5
men,132
are,511
like,189
haberdoshers,1
not,635
amiss,5
set,53
forth,47
their,479
shop,4
bacons,99
essays,12
haberdasher,1
was,373
oracle,2
coffeehouse,1
de,10
clared,1
opinion,16
addisons,83
spectator,16
noa,6
48,4
haxe2x80x99berdin,1
e,128
ns,427
dried,6
salt,8
cod,3
haberg,1
eon,1
haubergeon,1
french,183
halbergium,1
low,28
lat,11
armour,12
cover,11
neck,19
breast,19
breastplate,3
neckpiece,1
orget,1
g,19
halbert,1
haberion,1
every,86
arms,28
quickly,9
dight,1
fairfax,12
shot,12
fly,27
grazing,1
upon,249
shoulder,5
passing,5
lodgd,1
magnanos,1
brass,10
habergeoan,1
hudibras,38
p,105
habiliment,2
habilement,1
dress,14
cloaths,4
garment,4
fairest,5
una,2
found,59
strange,13
lady,20
teaching,1
satyres,1
fairy,53
queen,64
cant,20
6,50
riches,8
poor,33
habiliments,2
if,269
should,133
here,102
disfu,1
ish,4
take,78
sum,4
substance,13
shakespeare,361
clergy,7
content,7
themselves,56
with,1046
wearing,3
gowns,1
irish,8
drapery,2
swift,139
habilitate,3
v,257
habiliter,1
frenchj,3
qualify,1
entitle,1
divers,7
persons,20
commons,5
were,199
attainted,1
legal,2
nor,107
serve,14
parliament,4
disabled,1
highest,14
degree,26
henry,109
vii,25
habilitation,2
qualification,1
things,63
formerly,5
spoken,3
habilitations,1
towards,33
intention,6
act,26
pacon,2
essay,18
30,6
hability,1
shalilite,1
faculty,2
power,45
haxe2x80x99bit,2
habitus,1
state,77
thing,81
habit,16
body,54
accoutrement,1
shifted,1
into,207
madmans,1
rags,3
toa,22
assume,2
semblance,1
very,103
dogs,17
disdaind,2
mict,1
father,32
shakespeares,190
king,108
lear,40
justice,13
pity,4
ye,33
be,687
churchmens,1
habits,7
both,64
poets,12
dressed,2
story,7
compared,2
judgment,16
twixt,4
them,276
drydens,169
fables,39
preface,17
scenes,1
old,84
we,290
wore,5
last,40
year,17
indian,3
emperor,4
statues,2
several,33
venus,5
addison,101
on,550
italy,28
wear,6
distinct,2
others,55
3,213
ability,3
doing,12
when,239
been,89
acquired,3
frequent,20
locke,88
hath,114
better,38
bad,23
frowning,2
than,223
count,4
palatine,1
merchant,14
wenice,3
4,127
custom,8
inveterate,5
use,70
fatal,6
step,3
repetition,3
sinful,1
continue,13
persist,1
till,47
length,19
settles,1
fixed,10
confirmed,2
fin,8
properly,7
apostle,2
calls,7
finishing,1
ends,16
certainly,5
death,59
merit,2
also,22
actual,2
infliction,1
souths,40
sermoans,6
civil,10
broils,2
since,27
arose,6
faction,6
does,33
obey,7
wars,9
respect,11
repose,4
winds,14
halcyons,2
they,497
breed,8
sea,40
dryden,246
force,39
education,5
great,154
mould,4
minds,8
manners,8
young,37
shape,9
please,15
impressions,2
afterwards,5
remain,9
aftterburys,1
sermons,72
hapit,1
noun,63
accoutre,1
array,5
yourself,7
your,236
fair,49
princess,4
before,75
leontes,1
she,141
habited,3
becomes,13
partner,2
bed,17
winters,18
tall,6
having,66
called,46
memory,6
sir,20
george,3
villiers,1
used,102
time,90
seemed,7
thought,40
him,344
person,36
clarendon,16
those,139
rural,6
deities,1
imi,1
tated,1
rustick,3
dances,1
habltable,1
adj,247
habitable,5
fr,53
habitabilis,1
capable,8
dwelt,5
sustaining,1
human,31
creatures,5
means,25
solitary,5
situation,3
know,50
well,114
most,107
part,136
world,68
ourselves,9
unknown,5
bacon,50
torrid,3
inflaming,1
tropidue,1
clime,1
donne,15
round,39
babitable,1
how,128
few,24
good,158
knowing,3
pursue,14
habitableness,1
capacity,2
cutting,4
equinoctial,2
line,16
decides,1
contro,1
versy,1
babitablenes,1
zone,2
more,227
ancient,26
problems,1
spherical,1
roundness,1
earth,57
antipodes,1
habitablenes,1
abundantly,2
demonstrated,1
ray,20
nce,1
habitatio,2
dwelling,6
abode,7
all,382
desart,3
hast,19
thine,25
habitance,1
rich,34
heaps,12
wealth,7
dost,12
hide,31
apart,1
worlds,5
eye,38
usance,1
fa,11
qu,7
ant,20
ms,53
habitant,3
habitans,1
dweller,2
lives,12
place,116
inhabitant,4
bright,14
luminaries,1
officious,1
earths,3
heavns,15
wide,8
circuit,2
speak,34
makers,2
high,103
magnificence,1
miltons,63
paradis,5
ioff,1
powxe2x80x99rs,1
celestial,11
each,66
view,21
stand,37
still,71
confest,2
though,61
distant,7
far,42
lie,22
habitants,1
sky,12
popes,45
odsey,6
habitation,13
receiving,5
dwellers,1
7,53
amplitude,2
r,85
pdivdiv,65
classtexth,74
oa,127
almost,15
immense,2
stars,11
numerous,3
evry,25
star,10
perhaps,24
destind,2
paradise,45
loft,41
palaces,1
want,41
repair,8
dissolve,1
ruins,3
denhams,3
sophy,3
rocks,13
mountains,11
first,106
ages,11
craggy,1
consequently,5
then,108
inconvenient,1
habi,1
tation,2
continual,7
deterration,1
brought,27
lower,13
pitch,4
woodwards,4
natural,81
history,93
wisdom,14
end,32
might,62
save,17
built,8
nature,70
common,44
unto,60
us,137
hooker,49
god,94
oft,18
descends,3
visit,2
unseen,6
through,82
habitations,2
walks,4
mark,17
doings,2
lost,34
xii,8
habitator,1
presence,10
continued,7
northe,9
inha,1
bitants,1
longest,1
day,72
cancer,1
longer,18
caprico,1
habitators,1
brown,21
habitual,5
habituel,1
customary,1
accustomed,3
established,6
sin,11
powr,14
once,43
dwell,12
pxc5x82abitual,1
x,14
anhabitual,1
knowledge,18
certain,29
rules,10
maxims,1
south,18
scurf,1
wo,12
away,49
committed,5
crime,8
speck,1
left,41
stains,2
pure,11
ether,4
soul,29
remains,10
aen,9
tis,47
impossible,8
become,14
able,29
artist,1
making,24
dufresnoy,15
habitually,2
adv,103
customarily,1
inte,6
al,46
graces,7
qualities,16
mind,75
sanctify,1
natures,8
render,5
holy,45
atterburys,13
habituate,2
habituer,1
accustom,2
ones,18
self,11
corrupted,22
counsel,6
company,18
next,25
vicious,2
practices,6
tillot,1
live,27
rarer,7
air,58
habituated,1
exercise,8
greater,29
muscular,1
strength,24
arbuthnot,36
habitude,8
habitudo,1
relation,7
regard,18
something,23
else,17
cannot,62
conclude,4
complexion,1
nations,10
vicinity,1
hold,140
sun,41
browns,32
wul,2
err,9
will,275
streight,1
unalterable,1
rule,25
various,10
comportments,1
creature,8
either,37
thwarting,1
holding,16
conformity,1
occasions,5
habitudes,4
hales,6
origin,5
mankind,14
results,1
another,76
objective,1
perfeot,3
happiness,12
under,66
rand,1
best,48
referred,3
formal,2
must,102
understood,4
toward,6
object,14
norr,1
life,67
friend,36
mistress,10
wife,33
variety,13
familiarity,1
converse,4
intercourse,1
noblest,2
useful,8
arts,8
dead,18
authors,8
could,90
write,12
liable,4
deceit,4
willing,8
con,28
tinue,1
pleasing,9
errour,2
strengthened,1
thy,194
ear,22
inurd,1
charitable,4
sounds,18
pitying,3
love,86
feel,15
hateful,14
wounds,5
jest,5
obscene,1
vulgar,26
ribaldry,1
illbred,1
loud,17
reply,2
worse,7
hear,42
oath,3
direful,2
curse,10
prior,38
repe,1
titlon,1
gain,15
exact,4
infi,1
nite,1
acts,5
perpetual,6
practice,6
habna,1
hap,17
ne,5
map,1
would,171
happen,10
random,3
mercy,9
chance,29
certainty,6
