word,count
bpdivdiv,1
classpagediv,79
classpagenum,79
no,292
page,82
number,40
divp,22
classtextl,69
a,2867
b,153
liquid,24
consonant,1
which,561
preserves,2
always,24
the,5819
same,75
sound,23
in,1936
english,17
saxon,130
it,862
was,320
as,781
pirated,1
plar,1
looaf,1
ploeroix,1
lady,43
at,382
end,55
of,3709
monosyllable,1
is,1041
9,26
doubled,3
shall,184
still,71
soa,47
except,13
after,80
diph,1
thong,3
fail,11
foal,1
veal,2
coal,2
word,73
more,233
syl,1
lable,1
written,25
fingle,3
channel,2
canal,1
tendril,1
sometimes,34
put,53
before,107
e,74
and,3216
sounded,1
feebly,3
bible,1
itle,1
oane,3
corrupted,8
by,676
an,317
effeminate,1
pronunciation,4
from,964
see,90
look,106
behold,19
layou,1
if,296
you,314
speak,35
ill,50
devil,6
how,115
he,690
takes,13
heart,53
shakespeare,306
twelfth,5
night,52
lardanum,1
ns,302
refin,1
softer,4
kind,63
strong,33
not,715
unpleasant,1
smell,6
aromatick,2
but,444
agreeable,8
taste,12
this,385
juice,18
exsudates,1
low,67
spreading,5
shrub,1
cistus,1
crete,2
neighbouring,5
islands,2
grecian,3
women,21
make,156
balls,2
with,977
small,65
admixture,1
ambergrease,1
way,94
perfume,1
formerly,6
used,84
exte,4
ally,5
medicine,17
now,133
neglected,3
phill,1
to,3548
labefy,1
v,241
labefacio,1
latin,240
weaken,1
im,12
pair,5
dic7,6
label,5
labellum,1
1,354
slip,7
or,853
scrip,2
writing,7
when,228
wakd,2
i,837
found,67
on,611
my,340
bosom,10
whose,80
containing,18
so,366
sense,42
hardness,3
that,1102
can,114
colleamption,2
shakespeares,129
cymbeline,16
2,399
thing,106
appendant,1
larger,4
n,168
lead,61
heads,21
st,18
peter,2
paul,7
are,509
impressed,1
papal,1
seal,3
ayliffes,13
parergon,11
3,202
law,71
narrow,11
paper,9
parchment,1
affixed,1
deed,7
order,18
hold,28
appending,1
also,29
any,265
annexed,2
addition,4
explication,1
will,269
testament,4
called,32
codicil,1
harris,7
god,68
joind,2
romeos,1
thou,159
our,238
hands,41
andere,1
hand,63
thee,72
romeo,6
sealxe2x80x99d,2
be,761
another,62
true,30
treacherous,1
revolt,3
tu,62
slay,2
them,293
both,78
nt,2
adj,259
labens,1
lat,54
sliding,1
gliding,2
flippingdici,1
las,8
al,31
labialis,1
oattered,1
ips,1
hebrews,2
have,398
affigned,2
letters,17
labial,1
dental,2
guttural,1
bacons,96
natural,48
history,36
ome,2
particular,26
affection,10
its,86
passage,16
lips,12
seem,12
some,236
composition,5
vowel,1
litial,1
holders,6
elements,8
speech,17
amated,1
labium,2
formed,16
10dental,1
dentalis,1
pro,13
oanced,1
cooperation,2
teeth,13
consonants,2
very,102
easy,21
first,91
labio,1
oaul,1
f,34
linguadentals,1
th,30
dh,2
elm,1
sp,4
ant,22
laborans,1
chemist,1
use,71
shew,22
sort,23
fixt,2
sulphur,2
made,128
indus,1
trious,1
laborant,1
boyle,32
oaw,1
s,410
laboratoire,1
french,209
chemists,5
work,46
would,146
contribute,3
colours,20
their,501
laboratory,1
take,88
heedful,1
notice,3
give,87
us,128
oa,249
account,13
observed,4
steam,1
bo,17
xe2x80x9coa,1
either,32
sublimed,1
distilled,1
sus,2
flames,7
love,137
perform,4
those,172
miracles,3
they,518
boast,5
employ,8
themselves,51
laboa,1
laoai,1
decay,17
piety,16
rious,3
aff,1
laboarieux,1
laborioasus,1
gent,4
fiduous,1
makes,50
clergy,6
glorious,7
knowing,8
unspotted,1
lives,32
active,7
labo,3
leir,1
charges,5
bold,9
resolute,3
opposing,1
seducers,1
courte,1
g,25
vice,9
face,42
lastly,3
gentle,15
compassionate,2
all,424
souths,33
serm,11
l,102
his,785
laborious,5
youth,18
consumxe2x80x99d,1
war,33
lasting,12
age,25
ado,8
xe2x80x99d,4
crownd,9
peace,21
prior,57
requiring,2
labour,43
tiresome,1
spacious,5
cave,6
within,39
farmost,1
part,122
hewxe2x80x99d,1
fashiond,1
art,60
through,90
hills,16
hollow,5
sides,16
dryd,62
6,56
dost,7
watchings,1
abstinence,4
toil,10
virtues,9
lea,87
cato,18
addison,66
laboriously,3
adv,82
folly,12
him,296
who,232
pumps,1
ship,24
yet,114
neglects,1
stop,14
leak,10
chuse,12
bear,42
weight,23
woes,4
breathe,2
vital,3
air,53
popes,41
odys,7
laboriousness,1
toilsomeness,1
difficulty,8
parallel,5
holds,5
gainlessness,1
well,107
riousness,1
wretched,7
creatures,6
buried,5
earth,67
darkness,8
were,215
never,79
richer,2
for,659
ore,8
digged,1
insatiate,2
miser,2
diligence,3
assiduity,1
labeur,1
labor,1
aabt,10
doing,4
what,170
requires,4
painful,6
exertion,1
strength,22
wearisome,2
perseverance,1
pains,16
travail,3
find,55
her,310
honest,5
lose,19
she,142
other,150
wise,20
bestowed,2
shakes,6
m,307
w,17
windsor,4
sent,14
know,63
your,201
faith,12
left,80
tempter,1
tempted,4
vain,18
thes,3
iii,31
5,87
done,25
being,109
great,168
exact,11
performance,4
thereof,11
we,264
may,228
rather,34
wish,15
than,217
hooker,48
wont,11
say,57
had,186
been,90
wife,33
hercules,2
six,12
labours,10
youd,1
savd,1
husband,11
much,108
sweat,6
coriolanus,17
exercise,8
motion,34
degree,28
violence,11
moderate,4
body,70
conduces,2
preservation,2
health,12
curing,1
many,119
initial,2
diseases,11
mind,79
destroys,2
generates,1
maladies,1
harvey,6
4,129
childbirth,2
sith,3
womens,2
hast,14
charge,24
generation,3
goodly,7
doest,1
enlarge,2
incline,6
thy,192
effect,17
wishful,1
vow,4
spens,11
epith,1
twas,1
complain,5
sudden,17
shootings,1
grinding,3
pain,20
throws,7
come,66
thicker,3
cries,9
encreasd,1
conscious,2
nurse,5
suppressd,1
one,377
woman,18
two,100
hundred,14
dies,4
graunt,3
continual,6
even,31
travails,1
obligation,5
pangs,2
xe2x80x99till,1
delivered,7
labou,1
r,31
labora,1
act,32
effort,3
thxe2x80x99,27
top,18
hill,10
xe2x80x94you,1
do,132
climb,3
up,176
highnessxe2x80x99,1
good,123
ever,56
labourd,3
mine,27
own,84
shakespears,1
hen,10
viii,36
xe2x80x94none,1
fool,6
outjest,1
heartstruck,1
injuries,1
shakespearexe2x80x99s,4
k,13
lear,28
let,183
laid,96
upon,261
men,130
la,20
bour,3
therein,4
exod,17
epaphras,1
saluteth,1
laboauring,1
fervently,1
prayers,5
ye,21
stand,19
perfect,4
col,2
iv,61
12,23
labouring,2
man,196
given,22
drunkenness,1
rich,34
ecclus,12
xix,8
guard,11
day,64
neh,1
22,8
there,214
neither,21
whom,43
eccl,4
8,41
asbr,1
xmlnsbr,46
xmlnspdivdiv,23
c,31
right,43
could,83
temptation,4
loacke,7
move,18
stone,39
mocking,3
labourers,5
retu,20
ing,90
granville,8
diseased,3
morbo,1
laborare,1
abound,4
horse,16
want,48
camp,2
doth,52
only,87
em,8
coming,11
ben,3
johnsons,4
catiline,4
childbed,2
laboured,3
ulcer,2
hip,3
jo8man,1
distress,2
pressed,2
infe,2
lake,7
fury,11
flies,9
here,55
hides,4
hated,4
head,59
frees,1
laboaring,3
skies,10
trumpets,2
drums,1
fright,2
throne,14
sounding,5
cymbals,1
aid,7
moon,24
aur,3
call,37
down,105
favour,14
heaven,11
remove,5
afflictions,1
under,64
ixc5x82akes,2
preparation,4
foar,15
death,61
lay,194
log,8
unlighted,1
birth,13
unbo,1
chief,14
fatal,6
sisters,6
came,42
raisd,8
tossd,2
flame,12
ovid,15
like,262
furious,7
prophet,4
pindar,1
rode,3
seemd,6
inspiring,1
pope,94
touchd,5
memory,14
benevolence,2
protection,2
soul,54
expression,8
enough,16
represent,5
notes,20
odiffy,1
form,51
prosecute,1
brevity,1
avoid,4
granted,4
abridgment,1
mac,3
matter,34
ceremonies,3
wrought,5
most,96
lightheaded,2
weak,18
satisfaction,4
clarendon,23
famishxe2x80x99d,1
tantalus,1
feel,8
sisyphus,1
rowling,1
rock,11
curst,1
ixions,1
wheel,5
requird,2
helpful,1
artificer,1
might,92
command,11
arms,23
troy,5
drydens,143
afneis,2
eager,5
defire,2
something,27
conce,13
has,112
occasioned,1
mankind,13
point,21
these,105
disadvan,1
tages,2
least,35
appearance,10
informal,1
tion,21
essay,5
homer,8
beat,12
belabour,1
shepherd,6
plant,22
stubbo,5
oak,12
sturdy,3
stroak,1
pxc4xabrg,1
labourer,4
laboureur,1
frenchj,4
employed,7
coarse,8
toilsome,2
state,86
run,21
noblemen,1
gentlemen,6
husbandmen,1
workfolks,1
cavalry,1
stable,3
foot,14
bacon,60
sun,26
laboarer,2
year,21
each,59
waxing,1
supplyd,2
watry,6
store,12
swell,6
tides,4
line,47
did,113
brimful,1
vessels,16
belgian,1
shore,26
dryden,230
idle,17
persons,21
children,26
striplings,1
old,67
young,42
must,129
divers,10
diets,1
arbuth,14
aliments,19
balmy,1
sleep,24
laboarers,2
faint,7
showxe2x80x99rs,3
larks,2
sunshine,4
bee,3
half,29
charming,6
fight,36
me,215
autumn,3
hence,10
poor,40
clothd,1
hungry,4
fed,10
himself,71
infants,3
bread,15
bears,12
ep,1
167,1
prince,16
cannot,52
merchant,6
nea9d,1
nor,111
need,18
swifts,12
miscel,1
employment,7
