word,count
bpdivdiv,1
classpagediv,37
classpagenum,37
page,38
163divp,1
classtextoar,1
n,114
a,1231
k,21
semivowelhas,1
in,922
english,10
an,163
invariable,1
found,31
as,328
no,171
name,65
net,7
it,383
is,571
sometimes,24
after,30
m,184
al,23
most,48
lost,10
condemn,2
contemn,1
to,1346
nab,1
v,99
nappa,1
swedish,1
catch,8
unexpectedly,1
seize,3
without,45
wa,3
ing,45
ta,2
word,42
seldom,3
used,53
but,227
low,9
language,9
nadir,2
ns,149
arabick,1
the,2683
point,15
under,25
foot,12
direa9tly,2
op,3
posite,2
zenith,2
far,16
four,6
bright,6
signs,5
comprize,1
distant,6
from,453
lies,10
naff,1
kind,40
of,1821
tufted,1
seabird,1
nag,3
snagge,1
dutch,17
1,165
small,30
horse,9
familiar,5
creech,2
hungry,1
lion,3
would,76
fain,2
have,203
been,61
dealing,3
with,377
good,54
horseflesh,1
be,376
too,33
fleet,4
lxe2x80x99estrange,8
thy,92
nags,1
leanest,1
things,55
alive,2
so,175
very,49
hard,17
thou,51
lowst,1
drive,2
prior,22
2,219
paramour,1
contempt,10
your,85
ribauld,1
egypt,1
hoists,1
sails,2
and,1431
flies,4
shakespeares,58
ant,6
cleopatra,5
nail,11
snoegl,1
saxon,71
nagel,1
german,5
crust,2
or,415
ho,5
y,19
substance,10
at,167
ends,9
fingers,4
toes,2
my,147
can,70
reach,6
unto,38
thine,10
eyes,25
meanest,1
sculptor,1
thxe2x80x99aemilian,1
square,2
imitate,2
brass,4
nails,11
hair,7
expert,1
trifles,3
dryden,97
our,124
give,27
strength,13
those,79
parts,30
various,4
functions,2
they,213
are,262
put,24
defend,5
numerous,10
nerves,10
tendons,1
that,468
them,143
talons,1
birds,10
beasts,4
3,88
spike,1
metal,1
by,338
which,282
fastened,2
together,15
one,167
drives,2
out,77
another,35
remembrance,4
former,5
love,36
newer,1
object,7
soon,6
forgotten,2
shakes,9
rare,2
for,260
body,36
ships,11
nation,10
doth,28
equal,6
england,10
nor,60
oaken,1
timber,1
build,4
we,139
need,34
not,370
borrow,2
iron,3
spikes,1
fasten,3
bacons,35
advice,4
williers,2
loadstone,3
mines,1
shore,6
india,1
placed,6
abundance,2
vigor,2
proves,3
adventure,1
ha,3
zard,1
pass,15
coasts,1
ship,1
browns,31
pulgar,8
errours,17
b,94
ii,46
c,19
beechen,1
pail,1
hung,5
handle,2
on,204
driven,2
drydoan,7
equivocal,1
hand,32
any,131
thing,69
atts,1
4,48
stud,2
boss,1
5,37
measure,11
two,37
inches,1
quarter,1
6,25
readily,1
immediately,6
delay,1
i,308
suppose,4
counter,1
studded,1
want,30
money,10
mail,1
bankers,1
ruinxe2x80x99d,1
if,95
he,268
pays,2
noun,22
cross,2
mails,1
enemies,7
law,25
against,24
thee,32
fins,3
all,199
mankind,7
him,116
crucifyxe2x80x99d,1
miltons,23
p,44
loft,14
claspd,1
his,338
upon,65
wounded,1
part,34
second,10
shaft,3
came,9
swift,36
unespyd,1
piercd,1
naild,2
side,13
ray,12
swifts,28
poems,13
golden,5
armour,3
glorious,6
behold,5
rivets,1
arms,7
were,85
gold,10
er,8
s,244
whose,30
trade,9
forge,2
nailmaker,1
naked,14
adj,128
snacos,1
wanting,6
cloaths,5
uncovered,1
bare,7
philosopher,1
being,102
asked,2
what,80
wise,12
man,74
differed,2
fool,11
answered,4
send,5
both,36
who,105
know,28
you,107
shall,73
perceive,5
bacon,36
apophth,2
242,1
pitying,1
how,42
stood,7
before,47
air,23
now,74
shakespeare,137
must,48
suffer,6
change,10
father,10
family,8
clad,3
their,256
nakedness,8
skins,4
ungrateful,1
men,70
bosom,3
swords,2
let,51
thats,2
injurxe2x80x99d,1
strike,9
blow,2
unarmed,1
defenceless,1
unprovided,1
had,85
servd,3
god,46
half,11
zeal,3
king,41
mine,16
age,16
left,18
henry,12
viii,13
plain,6
evident,2
hidden,2
truth,16
appears,5
purblind,1
eye,7
may,73
find,18
hoan,2
vi,11
mere,5
necessary,20
additions,1
simple,5
ab,5
stracted,1
require,3
nothing,56
happiness,5
hands,7
saving,1
only,68
belief,2
hope,5
cha,2
rity,1
exclude,1
other,77
ground,20
di,5
vine,2
virtues,8
hooker,28
37,2
nake,1
dly,1
adv,54
covering,2
simply,1
merely,5
barely,2
abstract,2
though,42
several,21
single,11
letters,10
nakedly,2
considered,3
articulations,1
spirit,14
breath,7
vocalized,1
yet,45
there,124
property,2
aptness,2
conjoined,1
syllables,1
milton,23
addison,37
holder,7
discoverably,1
evidently,3
blinds,1
sharpest,1
counsels,3
this,205
overshadowing,1
providence,6
high,13
dazzleth,1
clearest,1
fighted,1
see,41
lie,11
daniel,2
civil,6
war,13
nudity,1
face,13
ill,18
grime,1
filth,5
presented,1
outface,1
winds,11
persecutions,1
sky,4
sha,29
lear,20
outward,3
inward,1
much,56
more,95
opprobrious,3
robe,2
rightcousness,1
arraying,1
coverd,3
fathers,11
fight,14
entreat,1
gentle,6
readers,3
sow,1
tuckers,1
again,11
innocence,3
mother,6
eve,3
addisons,33
guard,3
noa,36
100,1
strong,15
off,21
every,29
dress,8
provision,1
defence,4
spies,2
land,16
come,42
gen,14
xlii,1
9,12
plainness,2
evidence,2
concealment,1
why,9
seekst,1
cover,3
excuse,3
proper,10
nall,1
awl,1
such,86
collarmakers,1
use,46
tuffer,1
whole,18
bridle,1
saddle,4
whitleather,1
mall,2
collars,1
ess,23
tisoars,1
huff,1
nama,1
naem,1
un,8
erse,2
discriminative,2
appellation,6
individual,1
thoult,1
afraid,1
hear,15
call,16
thyself,4
hotter,1
than,76
hell,9
names,15
macbeth,16
called,24
marrie,1
xxvi,2
18,10
ex,10
xxxiii,1
17,7
term,6
species,10
distinguished,4
whats,3
rose,8
smell,13
fwect,1
particular,14
idea,11
take,41
should,50
distina9t,2
717cj,1
endless,2
locke,40
person,13
list,4
women,10
each,21
degenrate,1
dates,1
hazard,1
life,36
future,4
faine,1
reputation,11
character,5
13,7
pdivdiv,24
164divp,1
classtextn,33
was,162
last,19
encmy,1
west,5
d,20
behind,8
clarendon,11
renown,1
fame,12
celebrity,1
eminence,1
praise,8
memory,3
distinctioan,1
honour,9
resort,2
sir,5
walter,1
herbert,1
renowned,1
soldier,1
rice,1
ap,4
thomas,2
valiant,3
crew,1
many,47
others,18
great,87
worth,9
visit,4
eminent,2
persons,13
abroad,4
toall,1
agreeth,1
bacoans,1
essays,3
19,2
here,22
rest,17
bones,2
rich,15
hesperias,1
plains,3
kings,11
army,8
acquainted,5
xe2x80x99tis,1
ghost,1
remains,6
hundred,5
knights,2
approvxe2x80x99d,1
mighty,7
these,68
towns,2
tho,13
obscure,8
lands,4
Æn,2
bartolus,1
authority,8
valued,2
amongst,6
mode,11
lawyers,2
papinians,1
among,18
ancients,10
ba5kers,1
roaffect,1
lea,20
oa,83
power,29
delegated,1
imputed,2
people,22
us,44
tribunes,1
banish,1
coriolanus,9
7,21
fictitious,1
imputation,2
when,106
ulysses,1
fallacious,2
arts,7
forgxe2x80x99d,1
treason,1
patrons,1
kinsman,1
fell,7
8,15
appearance,7
reality,5
assumed,1
brook,1
tell,8
me,88
purpose,6
mr,4
jp,3
iindsor,2
friend,8
ecclus,3
xxxvii,1
aen,2
bids,1
her,127
confess,1
calls,5
ten,14
thousand,7
vain,11
she,55
kneels,1
granvils,1
like,61
watermen,1
thames,1
row,3
discriminate,1
mention,6
son,15
whom,23
florizel,1
speed,2
pace,3
speak,12
perdita,1
jin,1
tale,13
hast,5
seven,3
husbands,3
neither,35
wast,1
named,5
tob,1
iii,25
jesus,4
angel,3
conceived,2
luke,2
21,5
accustom,1
mouth,16
swearing,1
naming,2
holy,8
xxiii,2
specify,1
nominate,5
did,47
godson,1
roack,1
namd,2
edgar,1
bring,19
up,60
sam,2
xxviii,2
proposition,4
terms,5
ideas,15
either,30
innate,2
utter,3
nameless,1
cold,15
earth,26
thxe2x80x99,14
unregarded,2
headless,1
carcass,1
nameles,1
milky,1
way,31
framd,1
namels,3
stars,5
jwaller,6
reliques,3
rowe,2
fair,20
shrine,1
trust,6
sacred,7
place,43
drydens,18
awful,2
dust,5
beneath,6
rude,4
stone,11
tomb,1
guide,4
enquiring,1
pope,38
known,13
mentioned,2
little,38
credit,1
due,6
accusations,2
suspected,1
pens,1
w,25
atterburys,2
sermons,27
namely,5
particularly,2
specially,1
tion,16
nature,69
injury,2
say,22
same,40
diligent,3
beholders,2
works,3
observed,8
amely,1
provideth,1
living,6
ratures,1
nourish,15
ment,20
suffice,2
hooaker,2
sorrows,1
subject,5
none,25
except,5
x,5
some,97
drew,2
home,4
council,4
making,16
remonstrances,1
queen,7
elizabeth,1
continual,1
oanspiracies,1
danger,3
taken,17
ready,13
go,26
less,21
manner,18
do,58
deed,4
advised,2
swered,1
oc,2
weakly,1
attended,1
xe2x80xa2,14
rather,10
dead,14
custody,1
14,7
its,48
cral,1
divinations,1
spoalator,1
misel,2
xlviii,1
16,3
denham,15
excellency,1
soul,13
gt,9
vining,1
dreams,7
few,12
made,49
question,11
solomons,1
choice,6
does,24
instruct,3
history,14
fu,6
ishes,1
fine,9
moral,4
applies,1
heart,15
wisdom,7
time,57
method,5
gaining,2
long,32
riches,3
guardian,8
