word,count
bxc2xa7br,1
xmlnsbr,375
xmlnspdivdiv,129
classpagediv,276
classpagenum,276
page,281
287divp,1
classtext,16
oa,1241
troa,2
s,1560
a,10203
b,78
has,363
in,6251
english,73
the,20103
same,306
hising,2
sound,173
as,2528
other,471
languages,14
and,11058
unhappily,2
prevails,5
so,1389
many,358
of,12652
our,844
words,180
that,3665
it,2747
produces,9
ear,53
foreigner,3
9,116
continued,33
sibilation,3
beginning,19
invariably,1
its,365
natural,184
genuine,12
middle,37
is,3536
sometimes,111
ut,8
tered,2
with,3694
stronger,22
appulse,1
tongue,81
to,12274
palate,15
like,650
z,13
rose,55
roseate,1
rosy,9
osier,4
nosel,2
resident,1
busy,10
business,53
formetimes,1
keeps,20
loose,57
designation,1
for,2103
which,1840
i,2379
know,208
not,2549
whether,86
any,840
rules,34
can,450
be,2487
given,80
end,159
monosyllables,1
this,1385
generally,53
where,402
es,21
stands,40
verbs,1
eth,17
gives,73
seems,94
established,19
rule,71
no,1062
noun,171
singular,24
should,514
single,82
there,631
fore,45
written,61
diphthongs,1
naturally,17
long,286
an,1131
e,358
nevertheless,7
added,34
at,1170
goose,12
house,99
syllable,20
short,158
doubled,5
was,1072
once,176
se,51
ass,10
anciently,15
asse,3
wilde,10
ess,88
ese,2
distress,17
ciently,3
distresse,1
sabaoth,2
ns,1102
hebrew,5
word,276
signifying,5
roaft,1
sabbat,1
saxe2x80x99bbath,1
french,483
sabatum,1
latin,787
1,1286
day,200
appointed,19
by,2526
god,311
among,128
jews,17
from,3653
them,985
christians,13
publick,74
worship,15
seventh,13
set,521
apart,16
works,52
labour,51
employed,24
piety,66
holy,70
lord,117
common,156
prayer,33
purpose,52
sabbath,15
have,1286
swo,16
due,33
forfeit,4
my,1229
bond,12
glad,27
we,923
retu,75
d,236
up,682
coasts,4
light,209
ere,55
evning,5
milton,640
here,194
evry,62
only,397
free,74
hours,42
prayxe2x80x99r,6
charity,27
such,663
servile,17
toil,22
releast,1
mercy,34
were,697
part,397
rest,150
blest,23
angels,28
exercise,25
above,138
varyd,1
sacred,58
hymns,2
acts,25
love,273
sabbaths,1
one,1194
she,498
now,421
enjoys,1
evxe2x80x99n,22
perpetual,18
employs,3
vicissitudes,1
heavn,87
are,1711
praise,48
alte,10
ate,12
dryden,1044
2,1499
intermission,4
pain,97
or,2888
sorrow,45
time,380
never,241
release,4
could,276
his,2906
travels,15
afflictions,4
deep,107
danielxe2x80x99s,2
c,116
war,125
nor,333
blessed,13
soul,194
look,125
down,297
break,64
th,151
ete,53
al,133
see,323
her,1057
miserics,1
on,1672
earth,248
peaceful,17
